"Comparison","Module","Cluster","n_g1","n_g2","mean_g1","mean_g2","cohens_d","p_value","p_adj","sig"
"Suppressed_vs_PreART","MS_Exhaustion","Cytotoxic gd T cell",839,358,0.1748,0.1949,-0.08,0.141125124759753,0.186918628482237,"ns"
"Suppressed_vs_PreART","MS_Exhaustion","CD56dim CD122lo NK",791,1455,0.1657,0.1832,-0.075,0.0475865967143342,0.0704150366395259,"ns"
"Suppressed_vs_PreART","MS_Exhaustion","CD4dim Naive T cell",317,746,-0.0403,-0.0325,-0.062,0.133282993455749,0.177908664245112,"ns"
"Suppressed_vs_PreART","MS_Exhaustion","Vg9Vd2 gd T cell",718,671,-0.0103,0.0533,-0.414,5.8569404177084e-08,1.66467725276742e-07,"***"
"Suppressed_vs_PreART","MS_Exhaustion","Intermediate Monocyte",108,26,-0.0269,-0.0155,-0.091,0.921566420125543,0.939205930506508,"ns"
"Suppressed_vs_PreART","MS_Exhaustion","TNF+ B cell",72,10,-0.0941,-0.1184,0.401,0.0877206421607899,0.122267980580135,"ns"
"Suppressed_vs_PreART","MS_Stemness_Naive","Naive 1 CD8",1410,2957,0.4922,0.4395,0.174,3.72788499095644e-08,1.07355918729948e-07,"***"
"Suppressed_vs_PreART","MS_Stemness_Naive","Naive Intermediate CD8",185,1823,0.5926,0.4012,0.68,3.13114356293771e-17,1.44551444639668e-16,"***"
"Suppressed_vs_PreART","MS_Stemness_Naive","Naive 3 CD4",1358,3563,0.6516,0.4377,0.695,1.7019473416743e-97,5.58611757623511e-96,"***"
"Suppressed_vs_PreART","MS_Stemness_Naive","Th2/Th17 EM CD4",1174,1570,0.0166,0.1708,-0.44,1.88372317830563e-34,1.73592335970012e-33,"***"
"Suppressed_vs_PreART","MS_Stemness_Naive","CD56dim CD122hi NK",1276,4122,-0.6097,-0.7834,0.569,1.08199990540637e-101,3.86936085575173e-100,"***"
"Suppressed_vs_PreART","MS_Stemness_Naive","Classical Monocyte",450,1180,-0.5325,-0.7613,0.501,2.31426298800748e-43,2.60327423439714e-42,"***"
"Suppressed_vs_PreART","MS_Stemness_Naive","Naive 1 CD4",1897,9575,0.5802,0.4337,0.509,5.41961888863631e-85,1.44282298413029e-83,"***"
"Suppressed_vs_PreART","MS_Stemness_Naive","Naive 2 CD4",2780,5781,0.5352,0.4432,0.297,2.46492134718083e-37,2.43043273573879e-36,"***"
"Suppressed_vs_PreART","MS_Stemness_Naive","CD8+ MAIT cell",217,505,-0.0404,-0.0367,-0.008,0.123473078775376,0.166203088059439,"ns"
"Suppressed_vs_PreART","MS_Stemness_Naive","Transitional Memory CD4",410,3224,0.5415,0.421,0.446,3.75762442142894e-16,1.62807741659019e-15,"***"
"Suppressed_vs_PreART","MS_Stemness_Naive","Treg",331,949,0.1719,0.2244,-0.133,0.0786902318876145,0.111299761276697,"ns"
"Suppressed_vs_PreART","MS_Stemness_Naive","Tscm CD8",6,312,0.2613,0.2909,-0.098,0.92678073473462,0.942915770880743,"ns"
"Suppressed_vs_PreART","MS_Stemness_Naive","pDC",75,75,-0.7651,-0.582,-0.583,0.000856092323815061,0.00166899691445149,"**"
"Suppressed_vs_PreART","MS_Stemness_Naive","Activated B cell",937,599,-0.3734,-0.5341,0.642,7.63074891061968e-40,8.08994442028529e-39,"***"
"Suppressed_vs_PreART","MS_Stemness_Naive","Naive 2 CD8",1112,2765,0.45,0.4078,0.127,3.00080883632393e-07,8.12422369698545e-07,"***"
