gene,avg_log2FC,padj
NDUFS5,0.95975334827904,3.7647886013065894e-55
KDELR1,-1.26277797002372,3.8155784851922e-55
AC006064.4,-8.4261681878912,3.92870322288299e-55
AL135905.2,-8.50393290113334,1.01742134446999e-54
ANKZF1,-2.06693320209284,1.5021956087672198e-54
PHB1,5.24662813139177,3.52267303968513e-54
SNHG1,-1.3271809871268,9.500128149700301e-54
CBWD2,-8.74593887324896,2.34389669441377e-53
ENSG00000253980,5.87380779237824,3.07990780555677e-53
IL21R,2.16148972905854,5.69451013607927e-53
TMIGD2,-2.17404304639629,1.01084593592406e-52
SFMBT2,1.66840483373468,4.5035937713534105e-52
ENSG00000291149,5.2258678026016,5.3455459278831306e-52
FAM107B,1.00577334447965,5.991210517822871e-52
ZNF720,-8.66238972344179,6.16427401903419e-52
MARCH6,-8.98574687782225,1.7792824490926e-51
TMEM159,-8.04012026132015,1.7869725033706e-51
SERF2,-0.882884648324801,2.43809460793348e-51
HCFC1R1,-1.43611358227355,3.18273210788189e-51
UBXN1,-0.686139429367658,3.26992823248903e-51
MYL12A,-1.159948039837,4.22247573485689e-51
CCSER2,1.26741105268008,5.14460025426658e-51
C19orf48,-8.53324049943153,7.25378615329324e-51
SKIL,2.74805164828752,1.10179496736941e-50
SFPQ,1.13089355068568,1.2355287280449299e-50
AL118516.1,-8.91268008953539,1.84135398169404e-50
AC245297.3,-9.31763510531713,2.16872834224016e-50
AC118549.1,-9.21900227445184,2.70572858569476e-50
CCDC130,-8.69379981463501,3.84317976447139e-50
HARS,-8.60638155450468,4.548925853333e-50
SIK3,1.85033573484517,3.15058815822815e-49
GARS1,5.38013384967701,3.44106194067623e-49
SPOCK2,1.09800503855101,4.60096657837946e-49
AL627171.2,-7.87049807111387,7.86491452418036e-49
STK17B,0.877153540986641,1.03584021384619e-48
AC100810.1,-8.19155743878709,1.0930068216666899e-48
CRYBG1,2.52588218681198,1.18786522996558e-48
SOCS3,1.36947783347988,1.27263576285898e-48
WDR60,-8.5152819781795,1.29092441313462e-48
WDR61,-8.92508954485401,1.30697181763814e-48
NCF1,-3.69420135995061,1.70143669371942e-48
PRDX2,-1.8917839129725,1.93462558960318e-48
C5orf51,-8.65532396246456,2.13858094028187e-48
FAM192A,-8.74011223254902,3.1296029189474e-48
STAT4,2.38988767281509,3.30558382546966e-48
MAML2,0.779112454103708,3.8446279561306e-48
TGFBR2,0.97136326447543,6.6454286272301e-48
IARS1,5.24840420590046,8.72657723533013e-48
VAMP2,-0.973244719011575,8.747654528855501e-48
YARS1,4.15967855871429,1.16128508655816e-47
UCP2,0.891229395960029,1.68580728207128e-47
ANAPC16,-0.951864661562819,2.2161268056621203e-47
PBXIP1,1.42013827706102,3.26078128587833e-47
ABLIM1,0.957712401815953,4.06822331479493e-47
AC093323.1,-8.71436029297517,8.223058688631621e-47
IKZF3,2.10063856294475,8.726589878210651e-47
AC026979.2,-8.56719765419049,1.18754233163686e-46
BAX,-1.33719372570912,2.24033929601045e-46
LINC01619,1.62963493188421,2.35518255506629e-46
UBE2R2,-0.59480470973748,3.04621028377959e-46
DDIT4-AS1,-7.3252063470208,4.0260166475558404e-46
EIF4G2,0.929973266434408,4.04088434353073e-46
IL2RG,-0.758212483589415,5.7879777474261704e-46
RAPGEF6,0.743638495132243,6.9184518579999805e-46
CLPP,-1.5233473270763,7.95253537987606e-46
AC093157.1,-9.2823393319875,1.1759244454202399e-45
ENSG00000289707,12.3623301706419,1.47037222520564e-45
STING1,5.37073376395667,2.04376144350308e-45
KCNAB2,-1.49764175166594,3.3262179776636795e-45
PCBP3,4.21236986601514,4.1967004420725697e-45
POLR1H,4.9451495706984,5.0473002660286997e-45
DENND4A,1.4220199536454,5.24246291264719e-45
ZNF395,-2.18265940997204,8.42820078199106e-45
ASAP1,1.13321817707482,9.594618141491099e-45
EZR,1.573669581917,1.0474199590569998e-44
ATXN1,2.56651865433591,1.0707031866657899e-44
ING2,-2.01538163633152,1.3495166397673798e-44
SNHG12,-0.968162673379313,1.36268764692901e-44
CD37,-0.827576203055449,1.3691873848956498e-44
RPL41,0.87235720104233,3.5421597676793497e-44
LPCAT4,-1.77295009383318,6.164170382334879e-44
MARCHF6,5.51657235196035,8.669325906452379e-44
ACTB,-0.867433589820261,9.557333227616188e-44
ARHGEF18,1.63138637871377,1.0428008472850499e-43
SIPA1L1,2.01674526805981,1.3116248934533598e-43
ETV6,1.39505401367998,1.8673997754459897e-43
ENSG00000291099,4.575206630372,3.2739098973968094e-43
ZNF467,-1.83042984628873,3.324532455635419e-43
TCAF2,-2.9222394714482,3.545302172363909e-43
AFF1,1.42138404724371,3.784673875425259e-43
IRF1-AS1,5.00784328269264,4.120943070099249e-43
ENSG00000291073,5.58535496399434,5.292472779478179e-43
Z93930.2,-8.05018974237552,5.857635155872349e-43
AL450998.2,-8.47500043088554,1.20083795036971e-42
UNC119,-1.38038690071914,2.3637823199943e-42
ADK,0.976544039801834,3.0615696696815697e-42
CXCR4,1.31635440471732,4.41416170761146e-42
GLIPR1,1.79830138708738,4.9017242543919696e-42
NCOA1,1.65391998926326,6.25159582456668e-42
CSTB,-0.724149256618438,6.4079648184433e-42
SESN3,2.05445166708549,7.483682767288769e-42
TSPAN2,3.80523129943593,1.00995289520135e-41
KIAA1109,-8.61392726781719,1.1831992755614799e-41
ADORA2A,-3.60080270671614,1.66065086963351e-41
CDK2AP2,-1.14737238779574,1.72600385086806e-41
DBNDD2,-1.66479609341509,2.0115258377205299e-41
EPS8L2,-3.65190334896822,2.27330040320854e-41
HIST1H3D,-8.01383248921624,3.20247583696148e-41
LY9,-2.41321453780628,3.41783592717506e-41
MARCHF3,5.13805407649795,4.64898201243797e-41
CYHR1,-8.89882984872897,6.41536216373428e-41
MARS1,4.63062259850598,7.27416660474177e-41
CYSTM1,3.1736923329467,1.46312941847125e-40
H1-4,4.38507903644313,3.0273639908244598e-40
DLEU2,1.83431652672666,5.57141582651507e-40
RPS4X,-0.699834309134338,6.2849164166155e-40
OVCA2,-8.0280813285156,9.99313980566526e-40
GATD3A,-8.01447943335102,1.78509000832145e-39
NFKBIZ,1.66545309828346,1.80262041802761e-39
RMRP,-8.19833008710831,1.98628759812839e-39
HMGB1,0.64637147212675,2.09068199511033e-39
TAF1D,-0.705676577376585,2.45765819030111e-39
MTRFR,4.90220179690584,2.5761342409875e-39
MBP,1.42149003922012,3.23426226402436e-39
TSC22D4,-1.30146638903572,3.40624747127871e-39
CARS,-8.44370804754028,3.40725827968703e-39
S1PR1,1.10946249445264,3.63017616604831e-39
GBP4,0.906622960948009,3.90749231163457e-39
MKNK2,-1.42252419749842,4.56694394721906e-39
TSHZ2,3.5647588437193,4.80970358215006e-39
HIF1A-AS3,1.08511958670889,6.23989433525011e-39
RFX3,1.60041214313828,6.679033165913771e-39
PIM1,0.951605530460496,8.20435786410191e-39
ATP1A1,1.11052923208283,9.61884350135919e-39
KLF3,1.2026130783598,1.19987621058536e-38
TRPT1,-1.59405992442086,1.27030498802616e-38
ELMSAN1,-8.12658818550171,1.28237448594215e-38
BTBD9,1.78760502531455,1.46019814359213e-38
ZZZ3,5.08087219677863,1.49320200649799e-38
IL4R,2.08010399761829,2.94611704645745e-38
C1orf112,0.630867879263617,2.97380848589085e-38
FOPNL,-8.44793834503166,3.23473983269521e-38
EPSTI1,1.11026575746207,3.87373588029579e-38
CCDC58,-8.33041700733405,4.81279562846662e-38
AC025159.1,-8.47225697943735,6.70783336216159e-38
WSB1,-0.838172826580733,9.27304423020407e-38
BAZ1A,1.20461830344233,1.18340182477087e-37
EPRS1,4.68544510758961,1.41026680862192e-37
AP3S1,-1.2212288172185,1.41297251419934e-37
AC008555.4,-8.9145407197028,1.88205132453164e-37
USP3-AS1,1.8683461029391,1.90896771899995e-37
ENSG00000228655,4.73190112677455,3.55084168131327e-37
CNOT6L,1.04572742403731,3.78999713459699e-37
DARS1,4.53180941046228,7.04572104373759e-37
MAPK8,1.4764343368096,7.21315206988041e-37
CASC4,-8.57588267146112,8.76491662782031e-37
