gene,avg_log2FC,padj
FMNL1-DT,4.590903674196,3.08362569242341e-173
MARCH5,-4.0782118058344,5.1078752606539985e-173
IRF2BP2,1.86449783715603,5.0611977098674795e-172
ENSG00000291107,5.28212600120017,7.72469716090601e-172
CRIP2,3.95061234425903,9.318721176829888e-171
IRF1-AS1,4.51554811217189,3.6227566907299794e-170
TUBB4B,1.61952139811812,1.16556534926939e-169
ANKRD37,-2.70371233363275,1.4520934168889297e-168
ITGB2,-1.85255331922114,1.5168651444206797e-168
NARS1,4.56440727689217,1.5892041077497096e-168
YWHAZ,0.752259052057066,5.051554457550239e-167
PSMB9,-0.927059586273269,5.2577172524390195e-167
PRDX2,-1.88730934566151,7.279237046857189e-167
ADPRHL2,-4.20656689708218,7.54059322769538e-167
GLIPR1,1.99462587284459,1.4087841082882997e-166
HSPB11,-3.90072445948976,1.7979577393059798e-165
ZNF292,-1.0209968913246,3.9008747527849494e-165
DDIT4,-1.48219808070114,5.36434936396394e-165
MARCHF9,4.6589307847529,6.583806008796329e-165
PITPNC1,1.10019873790628,8.792146071354497e-165
FLT3LG,1.20102199756057,6.689512444764728e-164
RCSD1,-2.06909596069762,7.456095438947519e-164
NDUFS5,0.909723302394284,9.266799766965478e-164
ENSG00000291136,5.17294476268445,4.0720919450160395e-163
SH3BP1,-2.73936239834645,1.2678062386866198e-162
TSPAN2,3.4834647911303,1.6855162795030697e-162
FAM107B,1.10770693616469,4.366827462603299e-160
CSK,-1.17801848374639,5.77162113419555e-160
KLF2,0.631397493136149,1.9181003278351497e-159
BTG1-DT,5.16303250983897,2.5566547917130997e-158
ZZZ3,4.60491085337818,1.0566752621e-156
EEIG2,4.33393905823479,4.773736413659619e-156
TSHZ2,3.47611246446489,7.350163266826139e-155
MARCHF3,4.54332821102059,3.7006277175211195e-154
TKT,-1.40471250109338,6.725071572994089e-154
MARCH9,-3.45254368823897,7.781974414143819e-154
ENSG00000282885,4.47837157049215,9.543905462397229e-154
CAMK1D,1.71183406312857,5.762612635061639e-153
SIK3,1.68035136057798,1.19850185097034e-152
HMGN3,-1.48682179849892,5.656778482570019e-152
SRSF5,-0.6141429812917,8.05273858209573e-152
HIST1H1C,-5.36910961720881,1.6685703008540498e-151
AC119396.1,-3.31565127370345,2.9934927615236197e-151
ADSS,-3.47240780336622,3.6502284389973496e-149
ZNG1B,4.62157952136296,5.034034878239449e-148
HDHD5,-2.01719070932796,5.5266973614495894e-148
CROCCP2,4.74201531873928,5.958825370699839e-146
PPP2R5C,1.24832632286649,8.095290712459128e-146
STAT1,-0.991903009435646,1.3211458760639799e-145
EPRS1,4.21967284122566,5.137345066952859e-145
GBP2,-0.749653141280958,2.1249734407168397e-144
PMEPA1,2.52410049785712,2.69282507904856e-144
ARID5A,1.28386704943661,4.23579038949996e-143
MYG1,5.01812710116066,4.8451773595068e-143
IL21R,1.69092436036835,6.33114964291266e-143
LINC01619,1.9267760395742,2.37976196001856e-142
AKAP13,1.05378465215569,5.21843440087557e-142
CD96,-0.925812539393023,7.05976877136699e-142
ENSG00000290569,7.58213936384645,9.073459115118851e-142
KAT6A,1.11786291987546,1.1523269943482398e-141
WSB1,-1.08713737899581,1.3037322403108098e-140
ANP32A,-1.31936889119538,3.132886771024189e-140
ENSG00000228655,4.27375009010508,1.1711023209032e-139
GARS,-4.01030675486764,8.048583111403058e-139
ABLIM1,0.862881129709647,1.8644880208276e-138
TRPT1,-1.98497802350088,2.16374559401587e-138
CELF2,1.04349416817899,3.41888075419741e-138
UCP2,0.996382136958451,3.5691569062128e-138
PCBP3,3.71773908353202,4.5869562611663e-138
MARS1,4.31865570436875,7.53827628193474e-138
