"","CP002-entry","CP003-entry","CP011-entry","CP013-entry","CP016-entry","CP017-entry","CP022-entry","CP042-entry"
"Rat-IgG1",0,0.0084125599782414,0,0,0,0,0,0.0371366133486271
"Rat-IgG2a",0.00334529633165426,0,0.0329377787046799,0,0,0.16162490964083,0,0
"Hamster-IgG",0.0164178095002663,0,0.00346501694596598,0,0.00571996798513977,0,0.000424847439496275,0.00175132215802285
"IL2RB",0,0,0,0,0.00104028875938799,0,0.000202009456715952,0
"TNFRSF13B",0,0,0,0,0,0,0,0
"FCER1A",0,0.0171132453774267,0,0,0.00218029054694874,0,0.0111638874793273,0
"ITGA2B",0.203913699482532,0.053221742865185,0.0598995350518024,0.0511815245689051,0.0354961846758306,0.136319157826207,0.0132659919832864,0.0324213421874514
"TNFRSF9",0,0.000434286892445973,0,0.000215891416962433,0,0,0,0
"CD163",0,0.0300445333181345,0.00926299589370562,0.00191314370452286,0.0018892558071435,0.0184173514432565,0,0.0180072260786305
"CD83",0,0,0,0.00894903011607134,0,0,0.00177750383302262,0
"IL4R",0.00714507010012631,0.00368966264875999,0,0,0,0,0,0
"ANPEP",0,0,0.00702646297873392,0.0835154885095517,0.0160927833246688,0,0.0396523464737103,0.0905063201949402
"CD2",2.81741819146187,0.787727539239438,0.00917369244451712,0.810678856048555,0.268349146542379,0.839558229498042,0.148200780788277,0.242630915187575
"CD226",0,0.0010484042843598,0,0,0,0,0,0
"ITGB1",0.00980886512496044,0.00375180625327979,0.0601093897808883,0.0262741487057255,0.00614429949142736,0.00910304372464653,0.032019150426371,0.0156829595760074
"CLEC4C",0.0281199343995247,0.0379791413902972,0.0194533605102262,0,0.0697545859218584,0,0.0356433586768216,0.000782079627860126
"ITGA2",0,0.0366991552903405,0,0.0180744705112593,0.0128568853416468,0.0251211469495809,0,0.000590673844244185
"CD81",0.0398465585404829,0.0153864052694381,0.00143529467602502,0.032516200339757,0.0103842850134363,0,0.00100343361133443,0
"IGHD",2.10269139430942,0.121129051837535,1.9513272182294,2.08064586003277,11.080150930195,1.54273975888783,0.0109570574274213,0.0473525525509009
"ITGB2",1.59599874386663,0.93017071686563,2.31851859614342,21.3887750268629,1.09324724181213,0.562395078824315,0.210486088573333,2.68411159957053
"CD28",0.00519081759570599,0.0352266883932261,0,0.00276300097371492,0,0,0,0
"CD38",0.571667889396257,0.117442549578744,0.15921797919693,1.5291558111483,0.156019718440746,0.107268816419944,0.243499895476334,0.00717264557391141
"IL7R",0.0435636674506693,0.024305835633298,0.00908090763487663,0.00526759480636415,0.0207807169458749,0.0211576238953377,0.0115153074853749,0.0396962626104395
"CD45",0.0189389213021409,0.108882045958864,0.0566349254149113,2.3804505031674,0.237228495602911,0.0320292939636912,0.120582021640659,0.0823616149794173
"CD22",1.86927966676735,0.0132926024964273,0.425381674286456,583.071462537836,7.32330984711783,0.660982815101913,0.475442999993656,0.185228036919918
"TFRC",0.773935489316186,0.0208898882776749,0.179295123109163,0.000764755252738135,0.225000035199264,0.493876195298387,0.0225128103578801,0
"DPP4",0.080443270664285,0.024420774439901,0.00124471962152081,0.0273542345745536,0.019197044224286,0,0.000829415739995121,0
"CD36",0.112824461621032,0.016998566325677,0,0.0474092430802819,0.00394909440955733,0.0102050249821415,0,0.0338919889413253
"KIR2DL1",0.0208840450484463,0,0.109024777245522,0.118926081249997,0.0761834079214829,0.0477843829895512,0.0124812067400811,0.0335207010523483
"ITGA1",0,0.0488741713479662,0.0181703475527323,0.387561057822885,0,0.0530004905359714,0.0914859982948422,0.0321011966321225
"ITGA4",0.201575992866287,0.0378622491370174,0,0.227264364960216,0.00528809401047354,0.02440623725063,0.000997495698913098,0
"NT5E",0.0208958546903849,0.0890157225853915,0.0476181981343925,0.0386205288069398,0.0493455258092158,0.040314851533872,0.0612355938363095,0.00699592225033336
"TCR-vA7.2",0.0115166981294358,0.152562267460403,0.00236653913357691,0.0701503112488163,0.00145527313542957,0.0962333733887372,0.00113830110624322,0.0203123439415719
"TCR-vD2",0.0037328939159306,0.0900070170456851,0,0.0427868235140224,0.0255198646844087,0.162560139564143,0.00381858241971114,0.00549059574380819
"OLR1",0.0211434376082895,0.0575402687078537,0.0948381193248774,0,0.0084026868972719,0.0201429099483761,0.585074992616449,0.0218076314441474
"KIR2DL3",0.164784860536725,0.0392869036903966,0.0270350521118677,0.251875480150483,0.00398159912172097,0.0108335708043491,0.0772344335924532,0.0449021317207167
