"","CP002-entry","CP011-entry","CP013-entry","CP016-entry","CP017-entry","CP018-entry","CP020-V1","CP022-entry","CP042-entry"
"DPP4",0.137590221503199,0.00148099623110106,26.8555632048297,0.0307143893164286,0.00147074842832395,0.195695836237884,0.106712040808724,0.00829200576752101,0.0328023031104383
"CD36",0.00822385838778232,0,0.156020939244318,0.0190586890065062,0.00755994899069517,0,0.0161853735970598,0.1683488861336,0
"KIR2DL1",0,0.0211743662181512,0.640189334214896,0.027077446221411,44.2210267450393,0,0,0.0248303812300108,0.0676158333902773
"ITGA1",0.0325819858631597,0.00457001388294631,0.325686076889249,19.5031525348583,0.0466347170687214,0,0,0.000318471172432568,0
"ITGA4",0.074389940393413,0.0534957304082413,3.1101509976168,0.0919583422258241,0.162583695317607,8.65058701769568,807.946797154833,0.0625358957789911,0.135313027951826
"NT5E",0.147430376145635,25.5036335878817,843.841916689252,0.404134373099562,0.517663407058408,0.434058883397354,1.94652850875497,233.604463286968,0.328220575809316
"TCR-vA7.2",0.0128534509015967,0,0.0634832338691873,0.0195167031077059,0.00710070363701937,0,0.249612393523,0.00475546287678329,0.0135787716673455
"TCR-vD2",0.0413476082170206,0.023253707059769,0.0592919667377933,0.0619522356928909,0.0126367130745107,0.110779790852966,0,0.0167153634832782,0
"OLR1",0.0103191603178714,0,0.0141091737642371,0,0.00429388064355558,0,0,0.0183479077210377,0.00268046409647676
"KIR2DL3",0.0170429581531373,0.0014399414529104,0.0260469648260741,0.00309251077856376,0.0117553906645114,0.498580552538693,0,0.0123305168552786,0.194748765599592
"KIR3DL1",0.0169797347235529,0,1.2233681136542,0.00336831865702196,0,0,0.0435667808591851,0,0.0152492766053122
"SLAMF7",0.120193275298779,0.0148632110199633,0.0947746614273373,0,0.00229515482850152,6.2111226173646,0,0.0244837785437733,0
"CD99",0.722848656502848,0.0780320210278376,5.7167122180797,0.205428332716634,0.204145532189928,0.0145983109400817,102.640458300072,0.553035812311092,0.178875516025958
"CLEC12A",0.0207686736785446,0.0138545815335815,0.312429693566272,13.3596668510328,8.06241344489949,73039.8027452413,2.38782740304693,0,0
"SLAMF6",0.837952971116501,0.626426987320712,4.78933449189636,0.427065016762712,0.470996870968847,12.3063481036445,6.63397736260631,0.452723235720616,1.34368083930286
"KLRD1",0.0319880070124019,0.0852595620055284,6681.18902713951,3.44908808846407e-05,0,0,0.0603651438399098,0.00437417237171849,0
"IGKC",1.84740694592379,4.7783734341513,48.8979912572401,6.70432497896265,11.4090070558933,258.932440989628,3.77905922045283,1.91302468643637,6.71846840576719
"LILRB1",0,0,0.057561373861185,0,0,0.196959690342872,0.00411169066354235,0,0
"FCER2",0.0178811900355335,0.752917839286441,0.0999719730526729,0.0329525240572483,0.0100469203084833,3.09871373661221,0,0.00957969874218486,0
"Human-Ig",81.1339091121001,35.7211176418234,41.9302120099836,7.43022936760917,39.3914843205833,285.682835583483,8.26906486254955,6.70526914412928,4.56994519191791
"SIGLEC7",0.266213899710387,0.168745402162279,0.180921662454562,0.11747778762979,5675.56105634338,1402.03516343457,0.0118005912401173,0.358690688198256,0.480930519702087
"ADGRG1",0.000520356556968854,0.0382797299178026,0.215953669909553,0,0.0927567069831019,0,0.0196709626508681,0.039489221213534,0.0340106633025563
"HLA-E",0.106587693063043,0,0.429096502664195,0.0664933249534929,0.0763734493773595,2.18278853249431,0.00962874164308295,0.207412906284097,0.0283373752841631
"CD82",2.01805614843919,1.32927311111444,2.79566774722777,1.52304292639183,0.904881530539813,9.4469976013809,0.0562617546452386,1.2920466002038,1.33254383468685
"CD101",7.02066353848213e-05,0,0,0.0266579957420029,0.00437379013925454,0.0181989623155603,0.0253993585962459,0,0.110763726026566
"C5AR1",3.29626161924729,0.00660433281369137,0.0124032529421395,0.00327180814932515,0,0.12922492872982,0.0291957910238972,0.00547914963037649,0
"GGT1",0,0,0.0951854907881186,0,0,0.0765364684867149,0.00173754545767479,0.0306407073692479,0
