"","CP003-entry","CP006-entry","CP013-entry","CP020-V1","CP022-entry"
"GLRX3",0.371287366066155,0.312478268978552,0.214319790241738,0.576415040354268,0.507080301213094
"PPP2R2D",0.425116603594162,0.440144988071872,0.14178567844278,0.674423109952376,0.417669503610595
"BNIP3",1.94216340430929,3.08803256084883,2.61472348492453,0.103868373847852,0.460876998284552
"DPYSL4",0,0,0,0,0.0633986762356402
"STK32C",0.122618038614771,0.121051913123713,0.174708810819078,0.0856154444951329,0
"LRRC27",0.231514359229838,0.190637260147893,0,0,0.0704756400950012
"PWWP2B",0.196473903979057,0.210228680194445,0.209665771143915,0.29856752870927,0.0991290833595558
"C10orf91",0.046347793845013,0.0641338547070057,0.048439990118242,0,0
"INPP5A",0.040937970786664,0,0.033522849173997,0.0656529845846792,0.278416939136801
"UTF1",0,0,0,0,0
"VENTX",0,0,0,0,0
"ADAM8",2.97606063719582,2.66181186539698,2.67708622935789,2.81001810774503,2.09362031640568
"TUBGCP2",0.631933391249961,0.615085762218938,0.302357750877091,0.203406234523194,0.804105372319794
"ZNF511",0.435238735238621,0.273410184414968,0.645583086366416,0.466469342171931,0.347554885369642
"FUOM",0.122841394345336,0.135522600512887,0.193196989338775,0,0.126115552827067
"ECHS1",1.0211351644119,0.60347434752969,0.832607855106245,0.259891106585038,0.419221253931876
"PAOX",0.181676093381443,0.22308162483075,0.229536648873591,0.476040164241473,0
"MTG1",0.668127805762807,0.783484278981535,0.851947531135946,0.468836078479733,0.542611969423566
"LINC01001",0.051940496966675,0,0,0,0
"BET1L",0.272515163581021,0.434163942300874,0.501768709971044,0.206636916474089,0.268967561881914
"AC069287.2",0,0,0,0,0
"RIC8A",0.448974283996017,0.444114707950142,0.614087194680307,0.730632079408321,0.60026054494179
"SIRT3",0.0595408211870058,0.0785834299841739,0.0368860773501042,0.245491546420615,0.136043828136326
"PSMD13",0.969277209446653,0.874403881390436,0.962980286222129,0.999850607636702,0.692144551626046
"NLRP6",0,0.0294460607059988,0.113264226306841,0,0
"AC136475.3",0,0,0,0,0
"PGGHG",0.0872137000921579,0.233185736324892,0.456059931433265,0.159730931173804,0.284607922030415
"IFITM2",9.08955642554242,14.4081974433139,28.6483189125172,10.0938904837688,20.3823754751307
"AC136475.2",0.0808747412008281,0,0.0561974553792204,0,0
"IFITM1",13.3493956150038,23.341383553878,45.7627555455505,19.5060070241665,28.2934889042076
"AC136475.1",0.163184533168572,0.0345056037100425,0.153038087177053,0,0.190175342819463
"IFITM3",1.43770041972597,6.25167451709604,5.86316765965651,4.90562391587563,2.84606692337068
"AC136475.5",0.0678831323992614,0,0,0,0
"SIGIRR",1.54077311261993,2.3991714822143,1.49438407419447,0.869929432453123,1.94170202931382
"ANO9",0,0,0.0779772001991079,0.0603209072264447,0
"PTDSS2",0.194800758349989,0.0986808668601998,0.192825600687707,0,0.0706394281031901
"RNH1",0.974235037554514,1.12850979684765,0.851464904846833,1.00312755907702,0.896474236839587
"HRAS",0.513338119780306,0.377899052976609,0.229378568366495,0.261371092874791,0.26959174409726
"LRRC56",0.0633809958422067,0.0831656160077177,0,0,0
"LMNTD2",0.0461016449066903,0.0376564153351986,0.0504589239129886,0,0
"AP006284.1",0,0,0,0,0.0644940762190993
"RASSF7",1.75797438434931,1.83573853734123,0.543471076350572,0.269756832540703,0.758892880112721
"MIR210HG",1.10101349225156,1.19756065874564,1.33091609475763,0,0.924611352958934
"PHRF1",0.217847012582911,0.266111356874117,0.240581659298962,0.307861854305809,0.394439828196283
"IRF7",1.34485807039317,1.76872591589387,2.87975034070394,2.10614487183147,1.46979311591446
"SCT",0,0,0.136645670532158,0,0
"DEAF1",0.141802837649601,0.320866431255635,0.457111331026146,0.242889978847136,0.503697769744786
"EPS8L2",0.331686488012066,0.297957397189297,0.181634916323187,0,0.280022927944373
"TMEM80",0.566553605304366,0.371626810235779,0.263338385171221,0.116989417814399,0.72718049281718
"TALDO1",1.103994333344,0.85854413007611,0.831225087284677,0.483716656451373,1.21346819806525
"GATD1",0.0543667362560891,0.0420574504773521,0.0547984239973258,0.167097233238821,0.126418814568246
"AP006621.3",0.0499840051183621,0.0433593055573622,0.106666384371071,0,0.0670974321812704
"SLC25A22",0.1731402643632,0.164476587825037,0.18232810011432,0.0656529845846792,0.121270125708711
"PANO1",0.0492513790386131,0.0653398324686695,0,0,0
"PIDD1",0.118498616688215,0.0327140562485483,0.0995276116113339,0.0925303699526306,0.232028887666945
"RPLP2",8.1760463252893,10.9186898424121,14.0327883278847,11.3396819941252,11.3102540321499
"PNPLA2",1.54369180814256,1.72993312823559,1.35474532239808,1.58996414149271,1.71915167221185
"AP006621.1",0,0,0,0,0
"CD151",0.553865144306557,0.308423646538415,0.293396331988233,0.169146677168767,0.593204703883103
"POLR2L",1.41183359264378,1.04080050926835,1.66267574100964,1.88145080477425,1.66940338882813
"TSPAN4",0,0.028829992417712,0,0.0923589234420237,0
"CHID1",0.12774730469427,0.0937015825042184,0.414243239098063,0.303453002431361,0.22368160391137
"AP2A2",0.115522948916465,0.147366152627957,0.336755947131085,0.160134647633286,0.313223522665035
"MUC6",0,0,0,0,0
"TOLLIP",0.290221798094052,0.199109971712791,0.36293874405815,0.589736270418647,0.393181270875844
"TOLLIP-AS1",0.0627699106156473,0.0345056037100425,0,0,0
"MOB2",0.443539868825361,0.9646738908149,0.259724119946753,1.09587559686111,0.761724190062451
"DUSP8",0.100796665472018,0.0294460607059988,0,0.0747518239445042,0.0652056259414062
"IFITM10",0,0.0367740345896569,0.0531821541963379,0,0.0495265264075439
"CTSD",4.03757985681515,4.51277526551572,2.66518326658746,2.81330364513807,3.29277398579548
"AC068580.1",0,0,0,0,0
"TNNI2",0,0,0,0,0
"LSP1",12.1228263933222,11.4583418865466,11.1231762974602,11.3715725529805,10.4875243777598
"PRR33",0,0,0,0,0
"TNNT3",0.0522531560906279,0,0,0,0.0735450941744931
"MRPL23",0.108792200225619,0.0633376402928733,0.216535938792252,0.246116741547071,0.382554079875191
"ASCL2",0.374438225684709,0.274117559171415,0.367873117884674,0.206146955767102,0.369808356203757
"C11orf21",0.125367131401148,0.115734517905027,0.116894385469883,0.0435251923813503,0.510692565233811
"TSPAN32",0.356623182064389,0.662786451951401,0.382488805640765,0.437101739177097,0.186523788955508
"CD81-AS1",0,0,0,0,0
"CD81",3.67771166805605,5.14549748033423,4.33091688667233,2.71026885591224,4.04586928452529
"TSSC4",0.932454887959115,0.584377048642237,0.560183732068362,0.827292206426006,0.287281965353009
"KCNQ1",0,0,0,0,0
"KCNQ1OT1",0.0619855201824854,0.0367740345896569,0.0882768361581921,0,0.0743676887266021
"CDKN1C",0.0543667362560891,0,0.0530822190490851,0,0.0670974321812704
"SLC22A18AS",0,0,0,0,0
"SLC22A18",0.253235951591934,0.0792818517744283,0.0611000452140335,0,0.0652056259414062
"PHLDA2",0,0,0,0,0
"NAP1L4",2.09656673272021,1.8735518103678,1.81878812319745,2.01163026048937,2.3918219707904
"AC131971.1",0.0492513790386131,0.176101445436702,0.302686324090121,0,0.23594942933363
"CARS",0.419597813507998,0.333944267060499,0.339083005405799,0,0.116166130626614
"OSBPL5",0.492089902893752,0.524716542025417,0.387500074669118,0.513848435139969,0.591490829632808
"ZNF195",0.432862591300704,0.328402036635612,0.262390407890944,0.273180509957529,0.322317132130696
"CHRNA10",0,0,0,0,0
"NUP98",0.261191173629674,0.776781401300439,0.382486239427816,1.17131801075336,0.465745952299452
"PGAP2",0.0651245180785662,0.250266034408613,0.0531821541963379,0.093104668268067,0
"RHOG",2.95758613375467,3.37887730392017,1.64407273735739,2.52298105796055,1.88846661593555
"STIM1",0.810687578690953,0.914717470767358,0.687568719417748,0.503714383794571,0.835746523241346
"AC090587.2",0.040937970786664,0,0.0502048357297775,0,0.0209642287365069
"RRM1",0.0462757293054938,0.182668266611876,0.255159848163323,0.2252639018601,0.266319133375394
"TRIM21",0.1722730699288,0.315906464767405,0.989685213480538,0.497952566772535,0.515631923472992
"TRIM68",0.199691339316379,0.0517400962564617,0,0.165551208343022,0.0853363748147748
"HBB",0,0.049256473532034,8.90572652351536,0,0
"HBD",0,0,0,0,0
"HBG1",0,0,0,0,0
"HBG2",0,0.536301086818611,0.0471202461561659,0,0
"AC104389.5",0,0,0,0,0.171415226641142
"TRIM6",0,0,0,0,0
"TRIM34",0,0.151553007558658,0.155722719867611,0.134162874648614,0.207904665018359
"TRIM5",0.243874986214891,0.367892580997472,0.431154331341589,0.587721459457978,0.278659811471494
"TRIM22",2.89912572776773,2.21675747945405,3.59111452932304,2.22432572326817,1.55184233668824
"FAM160A2",0.05974572220629,0.172706795546653,0.0504589239129886,0,0.0670974321812704
"CAVIN3",0,0,0,0,0
"SMPD1",0.252070019532033,0.363782714229182,0.164648442935766,0.240304351576841,0.27783378697538
"APBB1",0.223042120052301,0.210304608428927,0.416311022008054,0.155447185389994,0.126712438470654
"TRIM3",0,0,0.0577483902636214,0.0658709456432957,0.0591180765342619
"ARFIP2",0.095085957705766,0.327942061761743,0.217534914555787,0.171216263540933,0.300631933932739
"TIMM10B",0.362421373964949,0.168361989748141,0.450743331613539,0.241439219956392,0.473190467347663
"DNHD1",0.0522531560906279,0,0,0,0
"RRP8",0.322803176169038,0.267087812977293,0.198164766180483,0.316704326712375,0.132361654971841
"AC091564.2",0.0461016449066903,0.0312657305706934,0,0,0
"ILK",1.58603801052027,1.52091080974784,1.94820532069558,1.67310594972877,1.50640230632563
"TAF10",2.36047190173572,1.98539285909981,2.14058682325923,2.2687849785724,2.26327945466904
"TPP1",1.98180832617115,1.27331135187322,0.671975790630392,0.518063946582316,0.689489673094614
