"","CP002-entry","CP003-entry","CP006-entry","CP011-entry","CP013-entry","CP016-entry","CP018-entry","CP020-V1","CP022-entry","CP042-entry"
"EDF1",3.25728659488385,3.40518764473419,3.34158421807017,3.11985037791909,4.41051699307992,3.42755865337147,3.65110332193144,3.15544517382109,3.00535018432502,2.44940913932895
"TRAF2",0.146504810171599,0.214362136601073,0.15206618945323,0.383395677362066,0.182299822162165,0.338084804398165,0.116568160377187,0.15187955403482,0.0942614549184479,0.308348081573405
"FBXW5",0.920972702979227,0.592295385173932,1.10180782301032,0.802475050223394,0.387403932084861,0.888069777822046,1.06027200468769,0.559795835904424,0.244963427971372,0.597121095845948
"LCNL1",0.0717611592025205,0,0.0456967381668296,0.0614673485444532,0.0288158002727378,0.0717017549075988,0,0,0.0290373536517376,0
"PAXX",2.82744640486777,3.30218751985465,3.16353368353028,2.44024971301588,2.59915736064791,2.84662348814186,2.40459829916678,1.15939986856002,3.3739742962751,3.12085221619452
"CLIC3",0.534782182598268,0.950281439425674,0.560927870080695,0.47702886521991,0.430699460059948,1.12239192830509,0.318660513837426,0.27037157028203,0.665982199487556,0.374721594444518
"ABCA2",0.062902576489533,0.112513247833026,0.0765163761396737,0.118487568906488,0.0147931182413941,0.16025544760574,0.0330039538736741,0.147600629508054,0.114367939483533,0
"C9orf139",0,0,0,0,0,0,0,0,0,0.0954681279654787
"FUT7",0.0296877810921369,0,0,0,0,0,0.0349208344682604,0,0.0580747073034752,0.0444450370449384
"NPDC1",0.285469631570464,0.198321525941885,0.343006578959207,0,0.190917498341361,0.282230398213331,0.160578448383265,0.156921718837243,0.0748356588029367,0
"UAP1L1",0.0823803069803338,0.332483518935372,0.347322769329547,0,0.268706138932079,0.0772594040547836,0.333649385712132,0.0389601420955416,0.25515459500411,0.0429204812244355
"MAN1B1-DT",0.0711833260542409,0,0.055532417048452,0,0.0172121187085403,0.106577428781721,0.0515979897423196,0.0158993128316994,0,0.0556569749320985
"MAN1B1",0.318685862553442,0.428225798956324,0.323186904991593,0.241133821041237,0.311697812313389,0.330046178271736,0.292063821181615,0.205948987120826,0.22620922497067,0.45267568917834
"DPP7",2.0427889243089,1.45553390937429,1.82976080742211,1.3017062357163,1.46576047350918,1.15578452381804,1.41827111252365,0.854789641757606,1.70027875703326,2.05044864359468
"ANAPC2",0.163782935332099,0.175236234695184,0.0456967381668296,0.245820822874829,0.109877955442956,0.268983297772456,0.220218007149449,0.122360226219874,0.187361401559912,0.296994214695371
"SSNA1",1.48869370653473,1.19186914381103,0.7354134805134,0.689702233103011,0.724217046615485,1.14837842629311,1.2327431166402,0.992815031344322,0.916129845562904,1.04613281774929
"TPRN",0.0814468687824538,0.0735394506572007,0.0321388397878836,0,0.0422246506726267,0,0.205669543717592,0.0666136001728591,0.0353506787330317,0
"TMEM203",0.730337857394019,0.42180263139237,0.349759890869676,0.202782791198715,0.555561178150637,0.400302418244117,0.464481992995387,0.257693187399049,0.683943458511836,0.518975469428256
"NDOR1",0.090569310222669,0.152022508072647,0.230204919365213,0.342893351658675,0.0915166763072143,0.190764992385206,0.0606766661812533,0.212559861375702,0.167132996979876,0.183977562505203
"BX255925.3",0.0523777858407298,0,0,0.0902918231724935,0,0.0832218607971977,0,0,0,0
"RNF208",0,0,0,0,0,0,0,0,0,0
"TUBB4B",0.999480065460202,1.00632493364565,0.433640516180544,0.258042412979145,0.517550518110468,0.987175594487824,0.990835871968307,1.54690428818219,0.585737025123074,1.48706569972684
"NELFB",0.300045348197255,0.397086916106868,0.270500777990636,0.633147202859946,0.274342532708473,0.244577034693637,0.374423345553144,0.22303569869465,0.542581199521722,0.446013032932488
"TOR4A",0.0975435061018042,0,0.0322709729052911,0,0.0187814589437307,0,0.0346075845982406,0,0.0805413218402292,0
"NRARP",0.0207049625654277,0,0,0,0.0164626938893773,0,0,0.0228573692539431,0,0
"EXD3",0.236821136501652,0.14351505613993,0.368246627879857,0.351042600239192,0.161999000081598,0.131628387236134,0.108744045822701,0.0451335148890796,0.104969647203122,0.333507218081786
"NOXA1",0.0158304996738917,0,0,0,0,0,0.04915985802633,0,0,0.0556569749320985
"NSMF",0.445529589446106,0.663114958785585,1.16913097939801,0.0864692861095739,0.30204328449732,0.435546603122813,0.513994191857954,0.294778427828666,0.412177274314311,0.162411485678501
