"","CP002-entry","CP006-entry","CP011-entry","CP013-entry","CP016-entry","CP017-entry","CP020-V1","CP022-entry","CP042-entry"
"AL133338.1",0.0301691888108513,0.0231396850226075,0.0301495417269657,0.0163706846875164,0.0941279533063848,0.0901869727165207,0,0.0361060362071331,0.0357961053837342
"HACE1",0.0669818243761948,0.0203322314374187,0.0962230744438482,0.0651691519137274,0.0730430934382728,0.282681314266963,0.11700608506665,0.0193647584633677,0.101102413221414
"PREP",0.708274454329525,0.611904473182288,0.610594410743501,0.449326446241878,0.523921214932992,0.956480439814222,0.300140786134344,0.800637263578267,0.425950459850916
"PRDM1",0.147740116721773,0.381694407609206,0.451423148968484,0.498245387442097,0.109018464124288,0.273602344514727,0,1.62251013107471,0.247226769826622
"ATG5",0.763492787029672,0.688845554897056,0.465975539452938,0.785975376975656,0.341483379203217,0.568260054076355,0.630164329319786,0.642916576521214,0.567927415439978
"CRYBG1",0.231722025123838,0.223616230455313,0.440725500757999,0.225586331250312,0.385358791022696,0.587964943258328,0.987413420270093,0.0842099662994587,0.19808740265954
"RTN4IP1",0.0252647748403266,0.0271646121165036,0.0397203686050207,0.0593732248800407,0,0.201867857953349,0.0185222229631111,0.0838561292972239,0.0565404166300312
"QRSL1",0.165224499608782,0.128209089758872,0.0543525417580833,0.114987712126086,0.128408231230088,0.120733800129996,0.138532029862797,0.0836175371729914,0.0604126530350468
"CD24",0,0,0,0,0,0,0,0,0
"MTRES1",0.121898353774291,0.264060070453852,0.0881380311627462,0.200982938511778,0.137761773582887,0.288281144283659,0.066246417951274,0.0886699665078771,0.285452050258244
"BEND3",0,0,0,0.0539997188212223,0,0,0,0,0
"PDSS2",0.105048401972447,0.0829564262916803,0.303682967339299,0.292566502443214,0.400706617347512,0.312866637880984,0.205165080223029,0.274218273310546,0.315761532321947
"SCML4",1.00956287062388,0.780774083018973,1.37386297776016,0.579976804510386,1.44617599589073,1.80953220323497,0.714834735951565,0.933889722043375,1.38123357872331
"SEC63",0.51946774907233,0.816421766202933,0.644198904708316,0.732722731279482,0.33821921580368,0.570937465217193,0.377580331628552,0.47800003641158,0.893408514214779
"AL024507.2",0,0,0,0,0,0,0,0,0
"OSTM1",0.288462779638314,0.141292937237676,0.388553305720468,0.235650325349245,0.34642156269236,0.604220623298428,0.530562200387934,0.273279302970689,0.296556719314464
"SNX3",1.91077228557757,1.53526079921138,1.67326109657215,1.7567650031951,1.78116334273335,1.61298994020838,1.74497254544115,1.88657092754502,1.84106999933793
"AFG1L",0.0798673949157554,0,0.122974484385763,0.0714449016918153,0.141610748724114,0.0496374799570026,0.0605352497286772,0.0533669976273695,0.0625622349657649
"FOXO3",0.363666281330817,0.629294594168779,0.937477254562149,0.355653672393031,0.576744965736337,0.470864984836224,0.298983532979296,0.704386406420554,0.599835382005313
"ARMC2",0.109747362434075,0.257871200403315,0.096989313252071,0.0827055083835903,0.0364505875834719,0.174925072615241,0.286232462650176,0.263908792601337,0.265958515418634
"SESN1",0.565546348735361,0.440841394647934,0.861932173559852,0.496185998667777,0.903914873253798,0.648862983681334,0.480916725567117,0.401453160805672,0.881522028506764
"AL390208.1",0,0,0,0,0,0,0,0,0
"CEP57L1",0.0832151291752692,0.105204316776194,0.10320081389987,0.0393675988914084,0.0279410778550193,0.146625821837443,0.0120807087993467,0.114607404066572,0.114505570155257
"CD164",2.32755902161341,1.84661892230171,2.32826168518067,1.75161429378562,2.19313446841177,2.17069519638689,1.75685422093564,1.19352936529298,2.2372414551453
"AL359711.2",0,0,0,0.0102641162390636,0,0,0,0,0
"PPIL6",0.0532002623352504,0.0281629848257838,0,0,0,0,0.06270803139313,0,0
"SMPD2",0.263652483787007,0.0840939853440342,0.0685129472502964,0.0590644666505516,0.100939308838259,0.131064147839029,0.30325085316627,0.133627500933995,0.190659796140109
"MICAL1",0.248513808863481,0.129726641122036,0.164447062156563,0.0218942815979611,0.313167517277964,0.396438028383903,0.269202760952138,0.177184885070333,0.145428921848153
"ZBTB24",0.496917596156445,0.413065336373153,0.116496143868117,0.294440152148696,0.229995619055272,0.18207183555113,0.264716637004032,0.140961542607946,0.202291600420694
"AK9",0.208143105516084,0.1564749508258,0.514555211531722,0.152333908919809,0.179525153891629,0.182168010992806,0.149540254951673,0.540448308066764,0.323855746928312
"FIG4",0.112058126304367,0.141492800451389,0.339634582021257,0.188445922885763,0.340251339722261,0.259267950385821,0.215081464444125,0.166524231098307,0.209342111051236
"WASF1",0.0587698326217833,0.0277237165305432,0,0,0.0729757314925389,0,0.0157805867222143,0.0128252318481287,0
"CDC40",0.862754924875506,0.775375310698753,0.764796443135482,0.678208023382228,0.721634730235402,0.73533263297731,0.648185809843534,0.594442015311943,0.987062462808242
"SLC22A16",0,0,0,0,0,0,0,0,0
"CDK19",0.28804599512492,0.590604811724024,0.209278213658633,0.255497462456303,0.264677996551076,0.569620890354437,0.495074317938876,0.533777544066615,0.620628190176088
"AMD1",0.2727398176225,0.320788793439312,0.382888752742659,0.122588792395296,0.308677669243715,0.390674873634167,0.223070905895012,0.411697582052457,0.156167892470516
"GTF3C6",0.561583751200165,0.309017109403695,0.95249014400757,0.517276403052476,0.688054485590694,0.582758835849181,0.733206224273569,0.622060182542259,0.879337989936897
"RPF2",0.157278897023019,0.087528959056468,0.229454151883254,0.388090813956897,0.351300090298153,0.199690687017649,0.0435069579679997,0,0.0539972045449783
"SLC16A10",0,0,0,0,0,0,0,0,0
"MFSD4B",0.0960268599912721,0.159440972048135,0.130506552236171,0.0674734434360734,0.166269108059084,0.289798747107299,0.180117937030336,0.201959787531297,0.439851982651674
"REV3L",0.6717365004844,0.64601850605886,0.770123091433728,0.370555601196887,0.395375353102799,0.587550913985349,0.651315376363128,0.347102877067123,0.90874302173939
"TRAF3IP2-AS1",0.0865749087403522,0.116723770181563,0.115610761866088,0.0628674219201305,0.0643685639696509,0.260334978220366,0.124439966563904,0.143128848848401,0.178104886215917
