"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"MYO1C",0.868149536577474,-0.0607463462631026,0.01,0.008,1,"15: NK cell_1"
"NDUFV1",0.591358689104099,-0.060726689674568,0.316,0.312,1,"15: NK cell_1"
"CYSLTR1",0.525742012442972,-0.0606930053396733,0.027,0.025,1,"15: NK cell_1"
"GOLGA7",0.40183535796222,0.0606298449652208,0.314,0.28,1,"15: NK cell_1"
"RAB11A",0.467225685568684,0.0606231269214302,0.323,0.289,1,"15: NK cell_1"
"SAFB",0.084656599727732,-0.0605730650953704,0.267,0.242,1,"15: NK cell_1"
"VPS13D",0.373931040433928,-0.0605595847475005,0.14,0.132,1,"15: NK cell_1"
"TRAF6",0.795927968457686,-0.0605480512078425,0.14,0.13,1,"15: NK cell_1"
"HMGA1P4",0.752606987378946,0.0605346224610059,0.056,0.051,1,"15: NK cell_1"
"CTBP1-DT",0.805161147817832,-0.0605278535278702,0.036,0.037,1,"15: NK cell_1"
"ZNF414",0.64637080520599,0.0605240534644358,0.113,0.104,1,"15: NK cell_1"
"XIST",0.897233507135445,0.0604724460287633,0.195,0.181,1,"15: NK cell_1"
"AC105402.3",0.182452981200571,-0.0604652292631089,0.072,0.066,1,"15: NK cell_1"
"GPR108",0.676866160352681,0.0604279901221101,0.222,0.202,1,"15: NK cell_1"
"UBQLN1",0.186281460565161,-0.0604190948606136,0.209,0.196,1,"15: NK cell_1"
"VPS16",0.339528670499185,-0.0603944478845972,0.126,0.114,1,"15: NK cell_1"
"SSBP2",0.501815061627482,-0.0603893148667958,0.096,0.093,1,"15: NK cell_1"
"FIBP",0.591691726072852,-0.0603738272801462,0.216,0.218,1,"15: NK cell_1"
"ELMOD3",0.749845091744523,0.0603593209695186,0.076,0.069,1,"15: NK cell_1"
"NT5C3B",0.303209378017496,0.0603440750874795,0.049,0.042,1,"15: NK cell_1"
"KLRC2",0.0334955342024289,-0.0603312095157462,0.679,0.635,1,"15: NK cell_1"
"GTF3C1",0.706900445684756,0.0603130985937225,0.304,0.272,1,"15: NK cell_1"
"NF1",0.649597421812738,-0.0603075278204064,0.185,0.173,1,"15: NK cell_1"
"POLR2K",0.911358283969477,0.0602552238798567,0.274,0.246,1,"15: NK cell_1"
"UPF3B",0.99690847411099,0.0602527961436807,0.17,0.156,1,"15: NK cell_1"
"TRIM4",0.547440292777295,-0.0601477227697638,0.149,0.136,1,"15: NK cell_1"
"PDCD4-AS1",0.562536264841732,-0.0600362616217782,0.026,0.029,1,"15: NK cell_1"
"RYK",0.401636663224498,-0.0600190495145367,0.176,0.162,1,"15: NK cell_1"
"HIST2H2AB",0.747900040461991,-0.0599963276836633,0.024,0.021,1,"15: NK cell_1"
"SELENOF",0.258821919004492,-0.0599496872666324,0.394,0.399,1,"15: NK cell_1"
"YPEL4",0.357750205321151,-0.0599471974763599,0.03,0.027,1,"15: NK cell_1"
"RIOX1",0.146166162569073,0.0599174373656308,0.068,0.058,1,"15: NK cell_1"
"MEF2A",0.795781501775394,0.0599006402672333,0.184,0.172,1,"15: NK cell_1"
"PAQR8",0.550190858890837,-0.0598886388071422,0.021,0.022,1,"15: NK cell_1"
"TAF11",0.861306607452834,0.0598814413977287,0.146,0.134,1,"15: NK cell_1"
"TBC1D15",0.942425011258487,-0.059874399431096,0.122,0.115,1,"15: NK cell_1"
"RPN1",0.868086720754775,0.0598663720813729,0.327,0.297,1,"15: NK cell_1"
"NCF1",0.952019523310795,0.0598211559287907,0.052,0.05,1,"15: NK cell_1"
"SMIM20",0.649960885024101,0.0597506199046913,0.064,0.055,1,"15: NK cell_1"
"RAP2A",0.509693202859011,0.0597339166920499,0.097,0.088,1,"15: NK cell_1"
"F11R",0.402416081358493,0.0597317582006567,0.081,0.07,1,"15: NK cell_1"
"FAM89A",0.693135251636898,-0.0596819042594445,0.026,0.025,1,"15: NK cell_1"
"LENG1",0.525281102583676,-0.0596804111281879,0.128,0.126,1,"15: NK cell_1"
"EID1",0.0394924514574121,0.059626621172486,0.347,0.348,1,"15: NK cell_1"
"ITPR3",0.0459578680404374,0.0595655727487538,0.088,0.074,1,"15: NK cell_1"
"SF3B1",0.76862632953305,0.0595634586309515,0.6,0.554,1,"15: NK cell_1"
"PPP1R12A",0.53573279352237,0.059553506569048,0.595,0.552,1,"15: NK cell_1"
"CCDC102A",0.406658393223356,-0.0595228615522425,0.112,0.104,1,"15: NK cell_1"
"RAVER1",0.063788649422887,-0.0594839939909759,0.104,0.095,1,"15: NK cell_1"
"UBR5-AS1",0.908140223765277,0.0594412063498853,0.017,0.015,1,"15: NK cell_1"
"TMEM167A",0.987112812509006,0.0594355520629601,0.142,0.131,1,"15: NK cell_1"
"NUTM2A-AS1",0.425733906796753,-0.0594314312293891,0.254,0.25,1,"15: NK cell_1"
"MTMR12",0.826651035954115,-0.0594201297431856,0.104,0.105,1,"15: NK cell_1"
"SBF1",0.714615215233637,0.0593871330064114,0.173,0.167,1,"15: NK cell_1"
"TMCO6",0.889536171776889,0.0593178247859427,0.055,0.052,1,"15: NK cell_1"
"RPS27L",0.547599601257705,-0.0593047879472614,0.421,0.405,1,"15: NK cell_1"
"SFT2D3",0.159692964480235,-0.0592567595573712,0.047,0.043,1,"15: NK cell_1"
"CRBN",0.940722481820898,0.0592459845190903,0.281,0.256,1,"15: NK cell_1"
"UBE3A",0.349607329012861,0.0592086897711176,0.317,0.282,1,"15: NK cell_1"
"ARFGAP2",0.346934637615401,-0.0591803676098512,0.196,0.187,1,"15: NK cell_1"
"RAP1B",0.646391756832542,0.0591564512941867,0.799,0.769,1,"15: NK cell_1"
"PI4KA",0.946867174803411,0.0590780344755245,0.159,0.144,1,"15: NK cell_1"
"DNAJA4",0.928075470614644,-0.0590106901409748,0.025,0.025,1,"15: NK cell_1"
"IER3IP1",0.0732535641878445,0.0589910044093768,0.256,0.223,1,"15: NK cell_1"
"SMNDC1",0.991113583026648,0.0589627702563693,0.217,0.202,1,"15: NK cell_1"
"JPX",0.0288734365572039,0.0589226081353134,0.215,0.181,1,"15: NK cell_1"
"CHMP4B",0.799221173294347,0.0589213220851467,0.225,0.201,1,"15: NK cell_1"
"TMEM33",0.250249264337304,-0.058891278694406,0.119,0.108,1,"15: NK cell_1"
"CIAO1",0.462563167141045,0.0588881508502078,0.244,0.212,1,"15: NK cell_1"
"POLR2H",0.692772595358851,0.0588788218435246,0.152,0.133,1,"15: NK cell_1"
"KANSL1L",0.755918242935174,0.0588527063436484,0.043,0.045,1,"15: NK cell_1"
"SYNE1",0.177744210688432,0.0588519506212164,0.518,0.469,1,"15: NK cell_1"
"ZNF20",0.990769250024688,-0.0588439013794329,0.026,0.024,1,"15: NK cell_1"
"CCNDBP1",0.285885484201205,0.0588338860961868,0.465,0.415,1,"15: NK cell_1"
"FLII",0.865601956179573,0.0588303452128329,0.166,0.151,1,"15: NK cell_1"
"POLR3H",0.392187838633624,0.0587363842898085,0.03,0.026,1,"15: NK cell_1"
"RAB40B",0.771726551177804,0.0587268196340638,0.019,0.014,1,"15: NK cell_1"
"PDGFD",0.473485863604375,0.0587256746022533,0.223,0.198,1,"15: NK cell_1"
"PYCARD",0.798375636569,-0.0587128835111132,0.328,0.321,1,"15: NK cell_1"
"AKAP5",0.801478478836401,0.0586994900774438,0.178,0.16,1,"15: NK cell_1"
"CS",0.904553701901095,0.0586940793253061,0.153,0.135,1,"15: NK cell_1"
"GCLM",0.152138131550084,0.0586938968602797,0.132,0.126,1,"15: NK cell_1"
"KANSL3",0.519734379060637,0.058693718598287,0.124,0.108,1,"15: NK cell_1"
"KLRK1",0.0414680028378229,0.0586869409791539,0.75,0.725,1,"15: NK cell_1"
"ARPC5L",0.595406521070966,0.058674923595634,0.486,0.445,1,"15: NK cell_1"
"EMC8",0.707054221954977,-0.0586535595797728,0.106,0.108,1,"15: NK cell_1"
"ENOX2",0.385193073255663,0.0586530835021575,0.086,0.074,1,"15: NK cell_1"
"AC116407.2",0.422356187529847,0.0586415578678996,0.036,0.032,1,"15: NK cell_1"
"HIST1H1C",0.731408912889273,-0.0586291964600402,0.232,0.233,1,"15: NK cell_1"
"DHX15",0.225509847751551,0.0586058755174425,0.2,0.175,1,"15: NK cell_1"
