"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"H3-3B",2.68071382008644e-06,0.434543870898042,0.684,0.531,0.0600908809910576,"27: GZMK+ CD8 T cell"
"DYNLL1",2.89794581548643e-06,0.540438128921332,0.812,0.617,0.0649603533999437,"27: GZMK+ CD8 T cell"
"AC097534.2",3.06265828384009e-06,-4.93947780923144,0.004,0.062,0.0686525480905594,"27: GZMK+ CD8 T cell"
"PREX1",3.1296824094272e-06,0.342806067219396,0.79,0.576,0.0701549608897201,"27: GZMK+ CD8 T cell"
"AC008105.3",3.23821294233116e-06,-1.98439519326079,0.077,0.175,0.0725877813152952,"27: GZMK+ CD8 T cell"
"CASP4",3.43288060176942e-06,0.771834687112778,0.577,0.373,0.0769514515692632,"27: GZMK+ CD8 T cell"
"RPL3",3.47445707542073e-06,-0.197669479104401,1,0.989,0.0778834298026311,"27: GZMK+ CD8 T cell"
"CCL4L2",3.66064720238204e-06,0.406843119490835,0.287,0.158,0.0820570676885958,"27: GZMK+ CD8 T cell"
"SRSF5",3.67231511961953e-06,-0.448520590232674,0.846,0.82,0.0823186157213914,"27: GZMK+ CD8 T cell"
"LYST",3.67262716728456e-06,0.29481058480164,0.897,0.74,0.0823256105818507,"27: GZMK+ CD8 T cell"
"CD2",3.7068521712002e-06,0.393035614503361,0.893,0.774,0.0830927982696236,"27: GZMK+ CD8 T cell"
"EOMES",3.76205788911207e-06,0.552429782668042,0.651,0.419,0.0843302896423362,"27: GZMK+ CD8 T cell"
"EIF4EBP1",4.20074132894601e-06,0.515860411714927,0.533,0.306,0.0941638176296539,"27: GZMK+ CD8 T cell"
"CCNH",4.25034467228036e-06,0.42378983343098,0.724,0.535,0.0952757261738366,"27: GZMK+ CD8 T cell"
"SPON2",4.26672506620255e-06,1.04484590608753,0.36,0.194,0.0956429090839963,"27: GZMK+ CD8 T cell"
"CYRIB",4.28293017740834e-06,0.572955905544338,0.515,0.315,0.0960061628567854,"27: GZMK+ CD8 T cell"
"C1QBP",4.3898805776208e-06,-0.492543649420661,0.375,0.382,0.0984035630279478,"27: GZMK+ CD8 T cell"
"DUSP4",4.70089784353798e-06,0.710883123656489,0.544,0.307,0.105375326060747,"27: GZMK+ CD8 T cell"
"ZFAS1",4.83380243889285e-06,-0.344642546298505,0.765,0.708,0.108354515470222,"27: GZMK+ CD8 T cell"
"VEGFA",4.83779535765388e-06,-4.83880045318388,0,0.042,0.108444020737169,"27: GZMK+ CD8 T cell"
