"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"GLMP",0.808018672329799,-0.0689444262573398,0.072,0.071,1,"3: IL2RB+ NK cell"
"PBX4",0.885481319987773,0.0689299666477079,0.054,0.048,1,"3: IL2RB+ NK cell"
"IDH3B",0.0277940598663896,0.0689112386379843,0.204,0.182,1,"3: IL2RB+ NK cell"
"OGG1",0.548072963299429,0.0688942855409707,0.075,0.062,1,"3: IL2RB+ NK cell"
"SCAP",0.577449285230972,-0.0688561096680134,0.106,0.101,1,"3: IL2RB+ NK cell"
"NPTN",0.179352207763434,0.0688356640451429,0.203,0.17,1,"3: IL2RB+ NK cell"
"GLTP",0.126420426914656,0.0688069480603277,0.176,0.146,1,"3: IL2RB+ NK cell"
"ARPC4",0.147592344129893,0.0688000144064318,0.505,0.454,1,"3: IL2RB+ NK cell"
"CDAN1",0.183155636683946,0.0687821240388127,0.04,0.031,1,"3: IL2RB+ NK cell"
"JUND",0.179257985894695,0.0687457250207704,0.75,0.712,1,"3: IL2RB+ NK cell"
"STK25",0.451046594844557,-0.0686991794141152,0.2,0.181,1,"3: IL2RB+ NK cell"
"CDIPT",0.481558807267624,-0.068674081762692,0.231,0.215,1,"3: IL2RB+ NK cell"
"COX7B",0.660776351680565,0.0686724197665232,0.506,0.45,1,"3: IL2RB+ NK cell"
"HMCES",0.590240980960094,-0.0686338327041223,0.174,0.161,1,"3: IL2RB+ NK cell"
"LINC01278",0.991238955319931,-0.0685591749359165,0.139,0.131,1,"3: IL2RB+ NK cell"
"IFI27L2",0.902422521881111,-0.068529410057725,0.261,0.256,1,"3: IL2RB+ NK cell"
"NEDD4",0.801254224100539,0.0685127803100061,0.04,0.033,1,"3: IL2RB+ NK cell"
"ZNF740",0.603519268494341,0.0684645186890971,0.087,0.072,1,"3: IL2RB+ NK cell"
"MVB12A",0.837717149938396,0.0684167831823257,0.091,0.078,1,"3: IL2RB+ NK cell"
"MOB2",0.782330579248417,0.0684149687456322,0.197,0.169,1,"3: IL2RB+ NK cell"
"SLC11A2",0.609780858544463,-0.0684135464988191,0.039,0.037,1,"3: IL2RB+ NK cell"
"NLRP2",0.0751323758787896,0.0683620270848926,0.045,0.038,1,"3: IL2RB+ NK cell"
"PSMD9",0.529457956775861,0.0683616986718185,0.306,0.263,1,"3: IL2RB+ NK cell"
"MOB3A",0.919464813730434,-0.0683510695702321,0.307,0.289,1,"3: IL2RB+ NK cell"
"GSTZ1",0.475474097713568,-0.0683463275037504,0.023,0.023,1,"3: IL2RB+ NK cell"
"NUP43",0.793900414755162,-0.0683276313443408,0.055,0.051,1,"3: IL2RB+ NK cell"
"DMTF1",0.464140233553135,0.0683153811127012,0.22,0.188,1,"3: IL2RB+ NK cell"
"ZNF436",0.852331260493365,-0.0683035680788899,0.018,0.017,1,"3: IL2RB+ NK cell"
"QRICH1",0.0219781384316912,0.0682395504128031,0.242,0.201,1,"3: IL2RB+ NK cell"
"AC011611.3",0.724110892883538,0.0682175505609814,0.017,0.014,1,"3: IL2RB+ NK cell"
"HPF1",0.783548847889635,0.0682064466470964,0.107,0.093,1,"3: IL2RB+ NK cell"
"TMED9",0.236740932171517,-0.0682046516315586,0.429,0.403,1,"3: IL2RB+ NK cell"
"FAM221A",0.94652003050199,0.068196386612188,0.023,0.019,1,"3: IL2RB+ NK cell"
"SNX3",0.190436511428593,-0.0681852528793704,0.492,0.466,1,"3: IL2RB+ NK cell"
"ZNF131",0.720952276936778,0.0681721680020694,0.223,0.194,1,"3: IL2RB+ NK cell"
"RSU1",0.253526049894353,-0.068164519287056,0.194,0.186,1,"3: IL2RB+ NK cell"
"ARHGEF19",0.380572974383936,0.0681616807803969,0.046,0.038,1,"3: IL2RB+ NK cell"
"TOP3B",0.749543848657699,-0.0681485837881124,0.069,0.064,1,"3: IL2RB+ NK cell"
"PARP10",0.481517148888401,-0.0681423009455735,0.222,0.21,1,"3: IL2RB+ NK cell"
"FLVCR1-DT",0.933662334081479,0.0680953345030737,0.012,0.011,1,"3: IL2RB+ NK cell"
"SYTL2",0.168034785538269,0.0680397464887857,0.3,0.261,1,"3: IL2RB+ NK cell"
"COX6A1",0.193589345139593,0.0680300341247004,0.767,0.707,1,"3: IL2RB+ NK cell"
"CD226",0.444080322759543,-0.0680069741508282,0.138,0.134,1,"3: IL2RB+ NK cell"
"PAQR3",0.353370710796574,0.0679720216398416,0.039,0.032,1,"3: IL2RB+ NK cell"
"ACOT8",0.859683392940158,0.0679617995799211,0.126,0.109,1,"3: IL2RB+ NK cell"
"BICRA",0.451293314675731,0.0679322812409389,0.046,0.041,1,"3: IL2RB+ NK cell"
"STYXL1",0.459413455362487,0.0679153038960341,0.105,0.091,1,"3: IL2RB+ NK cell"
"SUB1",0.393480666230127,0.0679005794126848,0.741,0.691,1,"3: IL2RB+ NK cell"
"PSMD6",0.565030854699541,0.0678501825697958,0.304,0.264,1,"3: IL2RB+ NK cell"
"PREP",0.655062972870985,0.0678194164473295,0.187,0.162,1,"3: IL2RB+ NK cell"
"EXTL3",0.926486141668495,-0.0678186695841383,0.048,0.043,1,"3: IL2RB+ NK cell"
"RIDA",0.932717974227071,-0.0678064029891958,0.033,0.03,1,"3: IL2RB+ NK cell"
"PDZD11",0.474843013989068,0.0677576537268694,0.101,0.083,1,"3: IL2RB+ NK cell"
"IFNG-AS1",0.300309498393798,-0.0677419187109853,0.016,0.014,1,"3: IL2RB+ NK cell"
"MEGF9",0.457523156526447,0.06774080062754,0.085,0.071,1,"3: IL2RB+ NK cell"
"SNTB1",0.80259823925598,0.0677289798235055,0.146,0.128,1,"3: IL2RB+ NK cell"
"OFD1",0.784491695325725,-0.0677100559402707,0.288,0.27,1,"3: IL2RB+ NK cell"
"FANCD2",0.133740248217023,0.0676851666320095,0.026,0.02,1,"3: IL2RB+ NK cell"
"HDHD3",0.660024886199411,0.0676712612802857,0.063,0.053,1,"3: IL2RB+ NK cell"
"RAMP1",0.111846639649845,0.0676657280504186,0.183,0.154,1,"3: IL2RB+ NK cell"
"SEC22C",0.435117613920605,0.0676575306725318,0.114,0.096,1,"3: IL2RB+ NK cell"
"R3HDM1",0.951736030367053,0.067629242149684,0.211,0.183,1,"3: IL2RB+ NK cell"
"KIAA1586",0.0321998893064113,0.0675814452222325,0.083,0.067,1,"3: IL2RB+ NK cell"
"EHD1",0.183897618407971,0.0675704748806303,0.309,0.275,1,"3: IL2RB+ NK cell"
"HDAC2",0.743183805192937,0.0675703193181775,0.229,0.199,1,"3: IL2RB+ NK cell"
"CCT7",0.227897428710503,0.0675147905180806,0.388,0.336,1,"3: IL2RB+ NK cell"
"PAK2",0.62506122592138,0.0675139233330395,0.578,0.519,1,"3: IL2RB+ NK cell"
"DDX24",0.314642285646269,-0.0675028263439748,0.584,0.567,1,"3: IL2RB+ NK cell"
"CIAO3",0.805742626490691,-0.0674900736397519,0.081,0.074,1,"3: IL2RB+ NK cell"
"ZDHHC2",0.802323456893876,-0.067476794175924,0.121,0.115,1,"3: IL2RB+ NK cell"
"SHQ1",0.703501275127584,0.0674699986296443,0.055,0.046,1,"3: IL2RB+ NK cell"
"PTEN",0.766745934345565,0.0674568772022318,0.282,0.248,1,"3: IL2RB+ NK cell"
"SMYD2",0.897878174855489,0.0674513864105362,0.134,0.113,1,"3: IL2RB+ NK cell"
"KCTD11",0.317555313460971,0.0674217104866477,0.057,0.046,1,"3: IL2RB+ NK cell"
