"","Activated B cell","CD4dim Naive T cell","CD56bright NK","CD56dim CD122hi NK","CD56dim CD122int NK","CD56dim CD122lo NK","CD8+ MAIT cell","Classical Monocyte","Cytotoxic gd T cell","Follicular B cell","Intermediate Monocyte","ISG+ CD4 T cell","Naive 1 CD4","Naive 1 CD8","Naive 2 CD4","Naive 2 CD8","Naive 3 CD4","Naive Intermediate CD8","Non-classical Monocyte","pDC","Resting Naive B cell","TEMRA/CTL CD8","Tex CD8","Th2/Th17 EM CD4","TNF+ B cell","Transitional B cell","Transitional Memory CD4","Treg","Tscm CD8","Vd1 gd T cell","Vg9Vd2 gd T cell"
"CD79B",0.2407,0.0185,0.0209,0.0257,0.0245,0.027,0.0145,0.0014,0.0054,0.9061,0,3e-04,0.0099,0.0045,0.0088,0.0065,0.0046,0.006,0.0216,0.021,0.7916,9e-04,0.0035,0.0195,0.1837,1,0.0127,0.0333,0.0123,0.0103,0.0064
"TCF4",0.1611,0.0074,0.0189,0.0097,0.0029,0.0066,0.0029,0.0256,0,0.3244,0.0329,0.0069,0.0075,0.0043,0.0072,0.0048,0.0072,0.0028,0.0277,1,0.3344,0.0011,2e-04,0.0013,0.4479,0.3189,0.0064,0.0089,0.0031,0.0023,8e-04
"BCL2",1,0.1417,0.0293,0.0172,0.0106,0.0123,0.0705,0.0507,0.0406,0.5688,0.0628,0.2051,0.0366,0.1027,0.0933,0.0882,0.0727,0.0304,0.0514,0.0745,0.7789,0.0086,0.0301,0.0857,0.5528,0.3977,0.0212,0.8698,0.0765,0.1098,0
"GZMM",0.0037,0.377,0.5629,0.9224,0.8543,0.8148,0.2854,0.0402,0.802,0.0033,0.0034,0.1708,0.3741,0.4024,0.3457,0.459,0.3586,0.5096,0.0103,0.0039,0.0101,0.9012,1,0.2067,0,0.0081,0.4112,0.1974,0.4571,0.4492,0.9467
"DNAJB1",0,0.0956,0.0247,0.0737,0.0662,0.0901,0.0769,0.0891,0.2008,0.0093,0.042,0.6959,0.0721,0.0978,0.0918,0.1063,0.1093,0.0901,0.0629,0.0287,0.0123,0.1426,0.1034,0.101,1,0.0234,0.0727,0.1043,0.0896,0.096,0.1594
"KLF2",0.0032,0.6845,0.1918,0.2136,0.4478,0.4773,0.4781,0.095,0.5391,0.6957,0.0382,0.7303,0.6178,0.5038,0.6978,0.5383,0.6395,0.4416,0.1079,0,0.7301,0.5954,0.3626,0.7846,0.6054,0.5113,0.6158,1,0.3293,0.5222,0.2036
"TYROBP",7e-04,0.0038,0.3511,0.3375,0.3297,0.3199,0.007,0.9265,0.0863,8e-04,0.7229,0,4e-04,3e-04,6e-04,0.0013,4e-04,2e-04,1,0.2445,0.001,0.0379,0.0044,4e-04,0.0036,0.0015,4e-04,5e-04,1e-04,0.0025,0.0375
"CD79A",0.4035,0.0071,0.0031,0.002,0,0.0031,0.003,7e-04,5e-04,1,3e-04,9e-04,0.001,0.0071,0.002,0.0067,8e-04,0.0067,2e-04,0.0308,0.9188,5e-04,0.0023,0.0098,0.5028,0.951,9e-04,0.0031,0.0062,0.0081,0.0011
"NKG7",5e-04,0.0088,0.6066,0.8298,1,0.8913,0.0651,0.0147,0.7293,0.001,0.0086,3e-04,0,0.0035,0.0016,0.0155,9e-04,0.0035,0.0066,0.0369,0.0012,0.8215,0.5701,0.0094,4e-04,0.0012,0,0.0012,0.0063,0.0456,0.384
"LILRA4",0.0819,0,0,0,0,0,0,0.0064,0,0.0056,0.0125,2e-04,0,0,0,1e-04,0,0,0.0089,1,0.0067,1e-04,0,2e-04,0.007,0.0122,0,0,0,0,6e-04
"KIR2DL3",4e-04,0.0038,0.1273,0.2709,1,0.4316,0.0108,0.0094,0.531,0,0.0034,0,2e-04,6e-04,0.001,0.0033,1e-04,2e-04,0.0023,0,0,0.1531,0.0116,1e-04,0,0,0,0.001,0.0016,0.0258,0.0264
"KIR3DL1",0.0018,0.0101,0.1558,0.37,1,0.5923,0.0055,0.0146,0.6322,5e-04,0.0041,0,1e-04,0,6e-04,0.0035,0.0017,0,0.0034,0.0057,0.0033,0.2599,0.0398,0.0017,0,4e-04,0,0,0,0.0229,0.029
"NCR1",0.0011,0.0114,0.8631,1,0.9843,0.9727,0.0267,0.0457,0.7169,4e-04,0.0255,0.0034,2e-04,0.0014,6e-04,0.0112,0.002,0,0.0045,0.0028,0.0013,0.3902,0.1263,0.0011,0,0.0068,0,0.003,0,0.0409,0.1086
