"","Activated B cell","CD4dim Naive T cell","CD56bright NK","CD56dim CD122hi NK","CD56dim CD122int NK","CD56dim CD122lo NK","CD8+ MAIT cell","Classical Monocyte","Follicular B cell","gd T cell (cl9)","Intermediate Monocyte","ISG+ CD4 T cell","Naive 1 CD8","Naive 2 CD8","Naive CD4","Naive Intermediate CD8","Non-classical Monocyte","pDC","Resting Naive B cell","TEMRA/CTL CD8","Tex CD8","Th2/Th17 EM CD4","TNF+ B cell","Transitional B cell","Transitional Memory CD4","Treg","Tscm CD8","Vd1 gd T cell","Vg9Vd2 gd T cell"
"KLRB1",0.0135383895828351,0.0162268673262223,0.47179728068365,1.49746781258221,0.694504000802952,0.170935544722818,2.36679931542854,0.0746578459923293,0.00706645219568663,0.256964179365074,0.00702363056589136,0.0163236339697458,0.0467479791261746,0.0175333513097532,0.010237736046347,0.143614250657424,0.0250416485554149,0.0288526176406203,0.00219950722661257,0.0385269529954146,0.0631732609198564,0.318801767301033,0.00771386520157057,0.00788793384115627,0.0271035700720956,0.0437947586819095,0.130613964950069,0.0807476244414293,2.06698702345748
"KLRD1",0.0651267434468035,0.0546184070812268,4.38208660451556,4.27850370847119,1.91337587517184,1.18285785338179,0.219739457030626,0.12478805304947,0.0323784953868663,1.92855330651222,0.20158997317031,0.0382452954698241,0.0261089708747672,0.0224290015217506,0.0127444493337981,0.0122458717756904,0.0908421251839112,0.0544799539102992,0.0214519066444173,0.805936184912698,0.35303169656048,0.0134705296139126,0.0508904086111042,0.0223272144850728,0.00674966622714039,0.0149110588793291,0.0440472306435846,0.23171135708629,2.12706408580946
"KLRG1",0.0232268174679629,0.055535398595536,0.121952834818115,0.373786969175114,0.185397264497102,0.0816815599468164,1.10950215382862,0.0491318401095407,0.0195925090542735,0.990864743419565,0.0767000365109421,0.033852694160416,0.0368322104200306,0.0303779240463987,0.0286378739895888,0.085933827066804,0.0296961671304679,0.020100775744025,0.0109162531955837,1.16260896417321,0.822099480970664,0.146578227547728,0.0489184549543961,0.0142997007014072,0.0400069224385494,0.0395127008522955,0.136858777845377,0.492997925452733,4.486844162411
"KLRK1",0.00894717724973494,0.0152233246780866,0.212482430655563,0.248503794059205,0.117608146790895,0.0303071052574288,0.117921652771723,0.0674469495970277,0.00951666668562046,0.061575849234501,0.0395298186806502,0.019659022891672,0.0908001536567805,0.0384986054533961,0.00447685860454481,0.222632462062226,0.0414111772497751,0.0080859113194429,0.00582369590767519,0.019939233758783,0.11887511904269,0.00778796515529926,0.0033402753738057,0.00745296354900964,0.0095223334719938,0.0074905629037878,0.410170410678439,0.0781398831904576,0.0265402278212146
"LAG3",0.0141758105873812,0.0112049877284508,0.0112365318114329,0.00784187765752189,0.00769456552568148,0.00499610180230159,0.0130839503260824,0.0316794244145669,0.0128991872592123,0.0202961684174129,0.0298927498213981,0.0127219938335353,0.00441292618927133,0.00248238032778994,0.00515908499054434,0.00709211381276989,0.0123210794582541,0.00546683547113527,0.00494490366853212,0.0139621466131649,0.0703283353873769,0.0186754189667039,0.00284764437398776,0.0072415106110441,0.00743475517734549,0.0106099637818173,0.0114218326046191,0.0105102448752093,0.019802565845666
"LAMP1",0.113107173529145,0.0166664497199548,0.0115861002437125,0.0277551405705788,0.0150972596593392,0.0139810723436834,0.0413755658176386,0.419176326467879,0.0804182265672747,0.0307797553838278,0.893060176037088,0.0381287575101573,0.0325338717416769,0.0141720706854606,0.0233073518110568,0.0378943354558916,0.204348552445492,0.047363033096762,0.0252233442353823,0.0230325180582585,0.0291939081331695,0.0327116788542415,0.238161116636886,0.0229323037026313,0.0473775155171803,0.0155175896862406,0.0468433745638591,0.0199072369881595,0.0602865754126184
"LILRB1",0.0276512287464006,0.00826958378218108,0.0019239337068527,0.00453424492967805,0.00349138203795779,0.000710540610089793,0.00290398577086548,0.542443065595179,0.0289191278013582,0.00334171906297323,0.0831739493010186,0.000795160470070846,0.00126213437383504,0.000500030910864022,0.00087517956230104,0.00453759666599033,0.889223190453358,0.0947815925141149,0.00285140755839231,0.000964917455661914,0.00210980606993018,0.00156469175812097,0.0227922273136441,0.0160902015496846,0.00114589463796353,0.00142449929967157,0.00188825908213594,0.00281747565344915,0.00290446203944752
"MCAM",0.0383206959136194,0.0453597308612158,0.0227480632944027,0.0303427477532356,0.0222707008180936,0.0208626981342802,0.0752808335505338,0.0401491478419732,0.0307814074984021,0.0293910900834189,0.0417429511928963,0.0445077616158799,0.0601536022120897,0.0327785191969157,0.0339848387611647,0.113387908550716,0.040250324234069,0.033417260352239,0.0279638292679203,0.0329291433357506,0.0749261176532189,0.192625903676307,0.0518315736620288,0.0324628455048888,0.059241666513509,1.0398381896572,0.109758040293364,0.0571702645285806,0.0554525155485831
"Mouse-IgG1",0.00296614108826961,0.00366980062373076,0.0022081400705114,0.00180639972624857,0.0010723776512023,0.00181762362779696,0.00428636308407703,0.00179841320392787,0.00376457515162071,0.00288714149929217,0.00272928651736841,0.00432310999976216,0.00288177627188095,0.00283110742760714,0.00327554571222776,0.00385208302503905,0.00144674082822329,3.1749149061411e-05,0.00296509142551359,0.00195715859679595,0.00227680666065396,0.00278223618987025,0.00021212365053318,0.00232248539711688,0.00316634483676811,0.00230764554956113,0.00354763531576979,0.00196236219998579,0.00299662579602936
"Mouse-IgG2a",0.010432843305161,0.0143942727009207,0.00156364403808768,0.00263758434450721,0.00192408802871019,0.00226631608447667,0.00148523729607125,0.00402825846270482,0.00950608876781484,0.0032152172684294,0.00967325157183747,0.00303587171058994,0.00256210167932748,0.00201655935877509,0.00218804579224958,0.00223683341512107,0.00459427379099169,0.0081185852463829,0.00543447232533949,0.00220120449865727,0.00143467970687966,0.00191265707686688,0.00359586476426545,0.0170583559127788,0.00154581352718458,0.00257617649018427,0.000648976944842716,0.00207208418147978,0.00409186535475222
