"","Activated B cell","CD4dim Naive T cell","CD56bright NK","CD56dim CD122hi NK","CD56dim CD122int NK","CD56dim CD122lo NK","CD8+ MAIT cell","Classical Monocyte","Cytotoxic gd T cell","Follicular B cell","Intermediate Monocyte","ISG+ CD4 T cell","Naive 1 CD4","Naive 1 CD8","Naive 2 CD4","Naive 2 CD8","Naive 3 CD4","Naive Intermediate CD8","Non-classical Monocyte","pDC","Resting Naive B cell","TEMRA/CTL CD8","Tex CD8","Th2/Th17 EM CD4","TNF+ B cell","Transitional B cell","Transitional Memory CD4","Treg","Tscm CD8","Vd1 gd T cell","Vg9Vd2 gd T cell"
"ITGAE",0.0054,0.0012,0.0754,0.049,0.0274,0.009,1,0.0412,0.0104,0.006,0.009,0.0054,0.0039,0.045,0,0.0089,5e-04,0.0892,0.0109,0.0723,0.001,0.0084,0.1395,0.0139,8e-04,0.0066,0.0079,0.0192,0.0397,0.0325,0.024
"ITGAL",0.0499,0.0122,0.2749,0.6275,0.5836,0.3088,0.2524,0.7314,0.6789,0.0605,0.7093,0.2327,0.1896,0.1571,0.0672,0.0863,0.1658,0.2267,1,0.3379,0.0111,0.6329,0.6866,0.3325,0.023,0,0.2566,0.2149,0.2444,0.4728,0.6024
"ITGAM",0.0056,0.0016,0.0468,0.1609,0.0768,0.0184,0.022,1,0.024,0.0059,0.3297,0.0035,0.0046,0.0035,5e-04,3e-04,0.0025,0.0174,0.072,0.018,0,0.0058,0.0048,0.0075,0.0028,0.0037,0.01,0.0083,0.019,0.0173,0.0123
"ITGAX",0.0344,0.0049,0.1109,0.1472,0.1263,0.0635,0.0099,1,0.1756,0.068,0.5826,0.0022,0.0015,0.0032,0,0.0017,0.0011,0.0063,0.9019,0.2251,0.0064,0.04,0.0137,0.0033,0.0401,0.0082,0.0028,0.0054,0.0137,0.0193,0.0183
"ITGB1",0.0604,0.0014,0.2973,0.4113,0.3035,0.0676,0.411,1,0.1257,0.0278,0.755,0.0143,0.0321,0.0111,0,7e-04,0.0096,0.0687,0.4944,0.6723,0.0012,0.2236,0.3325,0.3561,0.024,0.0574,0.0654,0.2479,0.0698,0.0871,0.1407
"ITGB2",0.0654,0.0303,0.4258,0.5655,0.5396,0.2782,0.3939,0.9619,0.5989,0.0565,0.815,0.2435,0.1812,0.1848,0.0729,0.0992,0.1532,0.2408,1,0.4465,0.0139,0.6045,0.7032,0.3902,0.0307,0,0.2434,0.2315,0.263,0.465,0.6112
"ITGB7",0.5142,0.0385,0.0577,0.1095,0.0678,0.0211,0.8494,0.0955,0.1642,0.5127,0.0482,0.4064,0.2538,0.8917,0.0879,0.1868,0.0698,1,0,0.5829,0.2359,0.1639,0.9323,0.3359,0.5433,0.3015,0.3518,0.2155,0.5632,0.6652,0.6138
"KIR2DL1",0.0078,0.0024,0.0196,0.1002,1,0.0478,0.0026,0.1979,0.1187,0.0028,0.0082,0,0.001,3e-04,9e-04,6e-04,9e-04,4e-04,0.1063,0.0228,0.0032,0.0412,0.0029,6e-04,1e-04,0.0013,0.0016,9e-04,0.005,0.0045,0.0045
"KIR2DL3",0.0049,0.0045,0.0804,0.1837,1,0.0714,0.0072,0.0194,0.1508,0.0042,0.0039,0.0025,0.0064,0.0041,0.0026,0.0027,0.0031,0.0118,0.0069,0.0054,0.0028,0.0716,0.012,0.0074,0,0.0042,0.0083,0.0043,0.0147,0.016,0.0071
"KIR3DL1",0.0088,0.0032,0.0858,0.4702,1,0.255,0.013,0.0256,0.3813,0.0081,0.0319,0.0136,0.0046,0.006,0.0029,0.0039,0.0034,0.0036,0.0192,0.0132,0.0054,0.1855,0.0344,0.007,0,0.0082,0.0056,0.0059,0.008,0.028,0.0397
"KLRB1",0.0048,0.0059,0.1986,0.6324,0.2928,0.0714,1,0.0306,0.1077,0.0021,0.002,0.006,0.0055,0.0188,0.0014,0.0065,0.0017,0.0598,0.0097,0.0113,0,0.0154,0.0258,0.1339,0.0023,0.0024,0.0105,0.0176,0.0543,0.0332,0.8732
"KLRD1",0.0133,0.0109,1,0.9763,0.4358,0.2688,0.0487,0.027,0.4392,0.0059,0.0445,0.0072,0.0015,0.0044,0.0014,0.0036,0.001,0.0013,0.0192,0.0109,0.0034,0.1827,0.0791,0.0015,0.0101,0.0036,0,0.0019,0.0085,0.0514,0.4846
"KLRG1",0.003,0.0102,0.025,0.0813,0.0392,0.016,0.2456,0.0088,0.2191,0.0022,0.0149,0.0054,0.0081,0.006,0.0011,0.0046,0,0.017,0.0044,0.0023,2e-04,0.2575,0.1814,0.0305,0.0087,0.001,0.0067,0.0066,0.0284,0.1079,1
"KLRK1",0.0158,0.0312,0.5151,0.6034,0.2824,0.0682,0.2831,0.1593,0.1449,0.0172,0.0908,0.0421,0.0082,0.2166,0.003,0.0883,0,0.54,0.0955,0.0137,0.0082,0.0428,0.2855,0.013,0.0021,0.0122,0.0172,0.0122,1,0.1855,0.059
"LAG3",0.1753,0.1317,0.1321,0.0823,0.0801,0.0405,0.1593,0.4324,0.2652,0.1566,0.4061,0.154,0.0576,0.0319,0.0494,0.0036,0,0.0713,0.1481,0.0474,0.0397,0.1722,1,0.2414,0.0089,0.0735,0.0763,0.1229,0.1349,0.1215,0.258
"LAMP1",0.1166,0.0074,0.0016,0.0199,0.0056,0.0043,0.0354,0.4633,0.0234,0.0796,1,0.0317,0.0289,0.0254,0,0.0046,0.0055,0.0314,0.22,0.0421,0.0171,0.0146,0.0216,0.0256,0.2582,0.0145,0.0422,0.0061,0.0416,0.0111,0.0568
"LILRB1",0.0307,0.0089,0.0018,0.0047,0.0036,4e-04,0.0029,0.6099,0.0034,0.0322,0.0932,5e-04,0.0011,0.0011,0,2e-04,4e-04,0.0047,1,0.1063,0.0028,7e-04,0.002,0.0014,0.0253,0.0177,9e-04,0.0012,0.0018,0.0028,0.0029
"MCAM",0.0171,0.024,0.0019,0.0093,0.0014,0,0.0534,0.0189,0.0084,0.0097,0.0205,0.0232,0.0218,0.0386,0.0058,0.0117,0.0032,0.0908,0.019,0.0123,0.007,0.0118,0.0531,0.1686,0.0304,0.0114,0.0377,1,0.0872,0.0356,0.0339
"Mouse-IgG1",0.6838,0.8478,0.5072,0.4135,0.2425,0.4162,0.9914,0.4117,0.6654,0.8698,0.6286,1,0.7921,0.6641,0.7778,0.6523,0.6417,0.8902,0.3297,0,0.6835,0.4487,0.5232,0.6409,0.042,0.5338,0.7304,0.5303,0.8193,0.4499,0.6909
"Mouse-IgG2a",0.5962,0.8376,0.0557,0.1212,0.0777,0.0986,0.051,0.2059,0.1564,0.5398,0.5499,0.1455,0.0703,0.1166,0.1376,0.0833,0.082,0.0968,0.2404,0.4552,0.2916,0.0946,0.0479,0.077,0.1796,1,0.0547,0.1174,0,0.0867,0.2098
"Mouse-IgG2b",0.0333,1,0.9816,0.3432,0.3601,0.32,0.2668,0.2512,0.24,0.3552,0.4124,0.1493,0.1685,0.327,0.3774,0.4503,0.0688,0.1184,0.8134,0.4488,0.2603,0.2826,0.0998,0.3181,0.0774,0.1025,0,0.0915,0.1545,0.1199,0.2513
"MS4A1",0.6534,0.0017,9e-04,0.0042,0.0018,2e-04,0.0028,0.0066,0.0019,0.786,0.0094,0.0035,0.0015,0.0023,2e-04,8e-04,9e-04,0.0017,0.0063,0.0226,0.4757,0.0036,0.0035,0.0039,1,0.8088,0.0025,0.0016,0,0.0019,0.004
"NCAM1",0.003,0.0015,1,0.3675,0.2318,0.0773,0.0039,0.0424,0.0303,0.0011,0.0145,9e-04,4e-04,0.0011,3e-04,4e-04,0,1e-04,0.0081,0.0116,9e-04,0.0039,0.0026,0.0012,0.002,0.0013,8e-04,8e-04,6e-04,0.0046,0.0241
"NCR1",0.0066,0.0035,0.5258,1,0.5496,0.188,0.0079,0.035,0.078,0.0031,0.0105,0.0018,0.0046,0.003,0.002,0.0021,0.0027,0.0039,0.0116,0.0263,0.0017,0.0059,0.0116,0.0039,0,0.0047,0.0075,0.0038,0.0059,0.005,0.0039
"NECTIN2",0.0017,0.0106,0.003,0.0072,0.0039,0.004,0.0018,0.3221,0.0048,0.0026,0.038,0.0012,0.0042,0.0028,0.003,0.0041,0.002,0.006,0.0194,1,0.0075,0.0015,0.0047,0.0037,0,0.0013,0.0079,0.0121,0.0073,0.0012,0.0029
"NT5E",0.2614,0.0047,0.006,0.0056,7e-04,0,0.1777,0.04,0.0063,0.1963,0.0197,0.065,0.0297,0.6868,0.0087,0.1239,0.0083,1,0.0082,0.018,0.5209,0.0074,0.0603,0.0702,0.2385,0.0376,0.049,0.0338,0.8708,0.2366,0.0086
"OLR1",0.0034,0.0017,0.0036,0.0078,0.0045,0.0031,0.0035,1,0.0024,0.003,0.4221,0.0018,0.0046,0.0029,0.0014,0.0014,0.0028,0.0101,0.1718,0,0.0014,0.0019,0.0021,0.0037,0.0044,0.0022,0.0077,0.005,0.0069,0.0057,0.0019
"PDCD1",0.1033,0.0175,0.0014,0.0152,0.0308,0.0014,0.0417,0.0114,0.0765,0.008,0,0.0079,0.0065,0.0092,0.0015,0.0049,3e-04,0.0056,0.0071,0,0.0017,0.0786,1,0.4474,0,0.0149,0.0093,0.1864,0.0363,0.5489,0.0142
"PECAM1",0.087,0.0074,0.0088,0.0114,0.0023,0,0.0735,0.5454,0.0036,0.0511,0.3043,0.0567,0.0308,0.2002,0.0113,0.1064,0.0397,0.4318,1,0.2431,0.0282,0.0064,0.0679,0.0065,0.0136,0.0465,0.0507,0.0239,0.3173,0.0845,0.0063
"PVR",0.0071,0.0046,0.0096,0.0145,0.0087,0.0043,0.0084,0.9917,0.0095,0.0035,0.1338,0.0071,0.0079,0.0057,0.0037,0.0045,0.0056,0.012,0.4123,1,0.0035,0.005,0.0132,0.0089,0,0.0053,0.0114,0.0081,0.0163,0.0059,0.007
"Rat-IgG1",0.4973,0.8794,0.479,0.3345,0.492,0.2705,1,0.6074,0.6425,0.6761,0.4252,0.4829,0.4011,0.2933,0.4029,0.3581,0.3213,0.2672,0.4743,0.289,0.4837,0.3444,0.1662,0.283,0,0.464,0.2977,0.3556,0.3095,0.2622,0.1726
"Rat-IgG2a",0.1845,0.467,0.1654,0.1326,0.0952,0.1959,0.0831,0.5799,0.0895,0.3452,0.3679,0.1463,0.3759,0.2279,0.3092,0.3051,0.3332,0.3344,0.5212,0.6356,1,0.1822,0.2411,0.2263,0,0.4012,0.337,0.2293,0.26,0.4385,0.1554
"Rat-IgG2b",0.0593,0.0341,0.523,0.1532,0.092,0.1101,0.0537,0.7164,0.1057,0.1963,0.064,0.0884,0.105,0.1917,0.1467,0.1029,0.0057,0.0487,0.5914,1,0.1189,0.0838,0.0852,0.1792,0.0277,0.1697,0,0.043,0.0522,0.0975,0.1336
"SELL",0.0725,0.5624,0.3307,0.0913,0.0578,0.0317,0.5216,0.0937,0.1129,0.3935,0.0541,0.6448,0.9354,0.8035,0.8969,0.7524,0.951,0.8443,0,0.6155,0.3806,0.1376,0.2613,0.6426,0.0394,0.1809,1,0.7126,0.6711,0.4497,0.1931
"SELP",0.0068,0.001,0.0042,0.0038,0.0033,0.0022,0.0091,0.1441,0.0074,0.0061,1,0.0062,0.0016,0.002,8e-04,0.0015,0.0011,0.0013,0.1688,0.1998,0.0039,0.0109,0.0768,0.0124,0.0125,0.0028,0.0012,0.0121,0,0.0043,0.0276
"SIGLEC1",0.0035,0,0.0053,0.0079,0.006,0.0036,0.0038,0.655,0.0093,0.0042,1,0.0053,0.0035,0.0027,0.001,0.0014,0.0027,0.0066,0.2458,0.0616,0.0017,0.0061,0.0128,0.0044,0.0077,0.0051,0.0038,0.0018,0.0056,0.004,0.0033
"SIGLEC7",0.0054,0.003,0.1595,0.4689,0.2367,0.0843,0.0081,1,0.0453,0.0076,0.6374,4e-04,0.0016,0.0031,3e-04,0,0.0012,0.0039,0.4229,0.0703,2e-04,0.007,0.007,0.005,0.0125,0.0016,0.0036,0.003,0.0092,0.0043,0.0113
"SLAMF6",0.7903,0.0036,0.104,0.4306,0.2769,0.0438,0.3347,0.0422,0.3688,1,0.0094,0.1106,0.188,0.2505,0.024,0.0901,0.0536,0.5187,0,0.0613,0.5557,0.3298,0.6359,0.5232,0.7839,0.5886,0.3121,0.2828,0.7143,0.4275,0.6227
"SLAMF7",0.1519,0.0092,0.0508,0.1438,0.0716,0.0107,0.011,1,0.0246,0.018,0.0413,0.0027,0.0053,0.004,0.0014,0.0014,0.0026,0.0143,0.9321,0.6633,0.0082,0.0098,0.0601,0.0068,0,0.0354,0.0093,0.0033,0.0125,0.0098,0.022
"TCR-AB",0.0089,0.1349,0.0026,0.0212,0.0143,0,0.1514,0.0689,0.0287,0.0094,0.0231,0.5667,0.8645,0.3076,0.3001,0.1864,1,0.5038,0.0086,0.0173,0.0023,0.3307,0.3912,0.4371,0.008,0.0113,0.9382,0.5096,0.5838,0.0698,0.0273
"TCR-vA7.2",0.0587,0.0175,0.0316,0.0609,0.0269,0,0.3374,0.1009,0.0585,0.0427,0.1109,0.5001,0.2194,0.6024,0.0714,0.5651,0.1148,1,0.0766,0.0383,0.0386,0.2547,0.7246,0.1644,0.0064,0.0415,0.2223,0.2178,0.9561,0.1693,0.7895
"TCR-vD2",0.0014,0,2e-04,0.0022,0.0013,2e-04,0.042,0.0042,0.0208,0.0014,0.0041,0.002,0.0011,8e-04,1e-04,2e-04,3e-04,9e-04,0.0035,0.0021,9e-04,0.0023,0.0019,0.0074,0.0016,0.0014,8e-04,2e-04,4e-04,0.005,1
"TFRC",0.5657,0.0039,0.0701,0.0089,0.002,0,0.0732,0.1731,0.0063,0.1221,0.1126,0.0095,0.0285,0.0075,0.0033,0.0027,0.0043,0.0275,0.1692,1,0.0664,0.0047,0.1231,0.093,0.0868,0.0593,0.0419,0.1212,0.0634,0.0324,0.0085
"THBD",0.0181,0.0025,0.0044,0.0056,0.0037,0.0024,0.0027,0.7729,0.0053,0.0136,0.9272,0.0012,0.0012,0.0029,0,1e-04,5e-04,7e-04,0.3228,1,0.0046,0.0042,0.0068,0.0048,0.0142,0.0105,0.0057,0.0023,0.0066,0.0059,0.0059
"TIGIT",0.0195,0.0377,0.2252,0.6958,0.3852,0.1082,0.0378,0.0499,0.2896,0.0218,0.035,0.0182,0.0168,0.0098,0.0077,0.011,0.0071,0.025,0.0394,0.0649,0.0045,0.2064,0.7861,0.1451,0,0.0168,0.0357,1,0.0161,0.0889,0.0328
"TNFRSF13B",0.6721,0.0174,0.1106,0.0204,0.0405,0.0156,0.1007,0.1609,0.0046,0.5526,0.0496,7e-04,0.0351,0.0216,0.0053,0.0069,0.0193,0.0148,0.0276,1,0.1195,0.0073,0.0146,0.0479,0,0.2974,0.0323,0.0448,0,0.001,0.0169
"TNFRSF13C",0.7491,0.0033,0.001,0.0024,3e-04,0,0.0044,0.0041,0.0036,1,0.0012,0.0044,0.0017,0.0089,9e-04,0.0011,4e-04,0.0044,0.0016,0.0192,0.7465,0.0023,0.0045,0.0037,0.9219,0.5519,0.0032,0.0042,0.0289,0.0022,0.0012
"TNFRSF14",0.1234,0.0548,0,0.1158,0.0675,0.0055,0.1859,0.4687,0.0161,0.1834,0.0692,0.0845,0.4735,0.2167,0.0563,0.0564,0.1083,0.3594,0.4651,0.1182,0.0454,0.011,0.0528,0.2647,0.0241,0.1154,0.7545,0.1211,1,0.0653,0.0619
"TNFRSF4",0.4103,0.0527,0.0191,0.0556,0.0165,0,0.0212,0.5007,0.027,0.0321,0.269,0.0247,0.0237,0.0065,0.0072,0.003,0.01,0.0294,0.6524,0.8807,0.0122,0.0084,0.1725,0.3077,0.0534,0.0881,0.0564,1,0.0501,0.0067,0.0088
"TNFRSF9",0.0996,0.0027,0.0339,0.0147,0.0062,0.0014,0.0958,0.0418,0.007,0.0397,0.0101,0.0509,0.111,0.0889,0.0095,0.0161,0.0177,0.4659,0.0097,0.5139,0.0126,0.0067,0.1092,0.1285,0,0.0212,1,0.1289,0.1935,0.0632,0.0126
