"CD45RO","FAS","annotation","plot_group","source","facet"
0.260738891487083,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.365119489597518,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.642032879488645,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.000731672214455692,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
1.23213244273151,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
1.04086816442492,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.646607583432653,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0,0.639735875412658,"Tscm CD8","Tscm CD8","0","Source cluster 0"
0.438180160298619,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.416581118945017,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.453542854167115,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.180485015241195,0.366613281446585,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.333338840853475,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.202503639550022,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","0","Source cluster 0"
0.0243849056848116,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.803479443866017,0.764546383835924,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.0853197680297195,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.516087811696827,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
