gene,set_membership,padj_unsup,padj_supp,avg_log2FC_unsup,avg_log2FC_supp,sig_unsup,sig_supp
IPPK,Overlap,1,1,0.591647345506938,0.416235980153164,FALSE,FALSE
DERA,Overlap,1,1,-0.149781320273068,-0.519038108617517,FALSE,FALSE
CDK5RAP3,Overlap,1,1,-0.283222991818054,-0.243846950879466,FALSE,FALSE
NSMCE4A,Unsuppressed_only,1,NA,-0.392985753467046,NA,FALSE,FALSE
SKAP1-AS1,Overlap,1,1,0.659556508350516,-0.250597600461511,FALSE,FALSE
AL731577.2,Overlap,1,1,-3.17066183411762,-1.50984701457529,FALSE,FALSE
MPP5,Overlap,1,1,-4.23154061368275,-1.53675383947477,FALSE,FALSE
ZNF524,Overlap,1,1,-0.639425701356611,-0.561071502009229,FALSE,FALSE
TTC30B,Unsuppressed_only,1,NA,-0.777378272452268,NA,FALSE,FALSE
SMAGP,Overlap,1,1,-0.955333844000154,-0.575380456809041,FALSE,FALSE
POLR3GL,Overlap,1,1,-0.741897106496621,-0.366336214278657,FALSE,FALSE
ALG3,Overlap,1,1,-0.312351452893276,-0.210820906985526,FALSE,FALSE
EXOSC3,Overlap,1,1,0.260715211812929,0.173910321670249,FALSE,FALSE
CUBN,Overlap,1,1,2.05923815516229,1.51653789240892,FALSE,FALSE
DNAJC3,Overlap,1,1,0.497475079420349,0.15793061203019,FALSE,FALSE
RNASEH2B,Overlap,1,1,-0.433916080702682,-0.230732929205172,FALSE,FALSE
ZBTB42,Overlap,1,1,-0.11215306135299,-0.962640040193905,FALSE,FALSE
RBM12,Overlap,1,1,0.406821905678432,-0.180934809055839,FALSE,FALSE
LINC02362,Unsuppressed_only,1,NA,-0.199388019117836,NA,FALSE,FALSE
DPH2,Overlap,1,1,0.180617609695701,0.347343559141031,FALSE,FALSE
AC025442.2,Overlap,1,1,-3.58870152347226,-2.71246653822596,FALSE,FALSE
HDAC2,Overlap,1,1,-0.132842558967924,-0.357029162053114,FALSE,FALSE
CEP135,Overlap,1,1,-0.102865761756022,-0.155978314575407,FALSE,FALSE
USP7,Unsuppressed_only,1,NA,0.255805983871708,NA,FALSE,FALSE
ZNF830,Unsuppressed_only,1,NA,-0.196594099712396,NA,FALSE,FALSE
FARSA,Unsuppressed_only,1,NA,-0.439208204472815,NA,FALSE,FALSE
FAM27C,Overlap,1,1,0.104331270327017,0.595579692154327,FALSE,FALSE
ENSG00000258982,Unsuppressed_only,1,NA,3.68453482490917,NA,FALSE,FALSE
CCDC115,Overlap,1,1,-0.464817117162776,-0.449769710375897,FALSE,FALSE
NPIPA1,Overlap,1,1,-0.80552861141035,-0.325263529839506,FALSE,FALSE
