"","Naïve CD8","Naïve CD8 (innate-like)","Naïve CD8 (post-ART)","Transitional Tem CD8","Effector CD8","Terminal TEMRA CD8","KIR+ innate-like CD8","MAIT-like Trm","TRDV1+ γδ T cell","Naïve-like TRDV1+ γδ","Vγ9Vδ2 γδ T cell"
"CCL4",0,0.0094,0.008,0.2378,0.6688,0.6299,0.7165,0.6979,1,0.0065,0.8523
"CCL4L2",6e-04,0.0056,0.0055,0.0923,0.3957,0.2431,0.1947,1,0.7141,0,0.2536
"CCR7",1,0.8665,0.9765,0.2419,0.0316,0,0.0011,0.1199,0.0094,0.614,0.0356
"TBX21",0,0.0015,0.0055,0.4838,0.7357,1,0.9227,0.2705,0.9266,0.0358,0.5688
"CD79B",0.4118,0.373,0.0375,0.1076,0.0444,0.0128,0,0.1896,0.4133,0.2872,1
"TCF4",0.8636,1,0.5285,0.0394,0.0947,0.4464,0.0696,0,0.0474,0.8155,0.4181
"BCL2",0.2844,0.1782,1,0.1771,0.0255,0,0.0339,0.0641,0.127,0.3268,0.124
"GZMM",0.2455,0.3189,0,0.7437,0.8734,0.5845,0.7706,0.4957,0.6212,0.1433,1
"DNAJB1",0.0814,0,0.6833,0.1009,0.2503,0.1119,5e-04,1,0.4598,0.1262,0.2687
"KLF2",1,0.1666,0.8984,0.7953,0.8245,0.9863,0.5185,0,0.8112,0.6713,0.1493
"TYROBP",0,0.0023,0.0042,0.1565,0.2374,0.3387,1,0.1614,0.6327,0.0298,0.423
"CD79A",1,0.6607,0.4802,0.2034,0.0787,0.0256,0.0408,0,0.1163,0.9487,0.0265
"NKG7",4e-04,0,0.0071,0.4976,0.8763,1,0.8352,0.3259,0.8177,0.0118,0.6344
"LILRA4",0.3995,0,1,0,0.6327,0,0,0,0,0,0
"KIR2DL3",0.001,0,0.0026,0.1923,0.272,0.2626,0.5582,0,1,0.0569,0.299
"KIR3DL1",0,0,3e-04,0.0394,0.0615,0.0617,1,0,0.2037,0.0101,0.1843
"NCR1",0.0012,0,0.0031,0.3071,0.5047,0.5187,0.9819,0.0327,1,0.0385,0.5695
"TOX2",0.1563,0.1039,0.281,0.308,0.1591,0.0505,0,0.232,0.1051,1,0.1049
"MX1",0.2077,0,0.5748,0.7311,0.8219,1,0.7297,0.4052,0.8918,0.8335,0.5982
"IL3RA",0.5792,0.5306,1,0.3957,0.2631,0.2148,0,0,0.2335,0.1632,0.8817
"FOXP3",1,0.3481,0.6607,0.4451,0.1637,0.1951,0,0.9489,0,0.4423,0
"SLC4A10",0.0053,0.0024,0.0016,0.0088,0.0165,0.0065,0.0116,1,0.0062,0,0.5959
"CSF2",0.1208,1,0.8917,0,0.1827,0,0,0,0,0,0
"RORC",0.0044,0.0012,0.0047,0,0.0031,0,0,1,0,0,0.2709
"B3GAT1",0.0018,0,0,0.1334,0.381,1,0.7924,0,0.676,0.0481,0.203
"GP9",0.0571,0,0.403,0.4076,0.4723,0.3525,0.7614,0.6805,0.2435,0,1
